dato   Qobs0707_mmdag
"2000-09-01"   2.315
"2000-09-02"   2.022
"2000-09-03"   1.817
"2000-09-04"   1.943
"2000-09-05"   1.730
"2000-09-06"   1.436
"2000-09-07"   1.196
"2000-09-08"   1.142
"2000-09-09"   1.350
"2000-09-10"   1.364
"2000-09-11"   1.184
"2000-09-12"   1.065
"2000-09-13"   0.949
"2000-09-14"   0.904
"2000-09-15"   0.858
"2000-09-16"   0.762
"2000-09-17"   0.684
"2000-09-18"   0.664
"2000-09-19"   0.652
"2000-09-20"   0.659
"2000-09-21"   0.631
"2000-09-22"   0.607
"2000-09-23"   0.553
"2000-09-24"   0.530
"2000-09-25"   0.487
"2000-09-26"   0.465
"2000-09-27"   0.469
"2000-09-28"   0.560
"2000-09-29"   0.781
"2000-09-30"   0.985
"2000-10-01"   0.956
"2000-10-02"   0.865
"2000-10-03"   0.865
"2000-10-04"   1.153
"2000-10-05"   1.075
"2000-10-06"   1.153
"2000-10-07"   1.409
"2000-10-08"   1.415
"2000-10-09"   1.723
"2000-10-10"   3.127
"2000-10-11"  11.969
"2000-10-12"  19.173
"2000-10-13"  17.958
"2000-10-14"  14.788
"2000-10-15" -9918.641
"2000-10-16" -9918.641
"2000-10-17"   5.898
"2000-10-18"   4.752
"2000-10-19"   3.852
"2000-10-20"   3.262
"2000-10-21"   3.415
"2000-10-22"   3.125
"2000-10-23"   3.234
"2000-10-24"   2.825
"2000-10-25"   4.230
"2000-10-26"   4.751
"2000-10-27"   5.237
"2000-10-28"   5.985
"2000-10-29"   4.954
"2000-10-30"   4.705
"2000-10-31"   8.473
"2000-11-01"  15.438
"2000-11-02"  15.968
"2000-11-03"  14.116
"2000-11-04"  11.204
"2000-11-05"   8.601
"2000-11-06"   7.328
"2000-11-07"   7.457
"2000-11-08"   6.907
"2000-11-09"  10.833
"2000-11-10"   9.946
"2000-11-11"   8.552
"2000-11-12"   6.805
"2000-11-13"   5.683
"2000-11-14"   6.520
"2000-11-15"  10.476
