Time	Qobs
1975-10-01	28.67
1975-10-02	22.67
1975-10-03	19.26
1975-10-04	16.65
1975-10-05	14.5
1975-10-06	11.46
1975-10-07	9.02
1975-10-08	6.83
1975-10-09	5.1
1975-10-10	3.57
1975-10-11	3.03
1975-10-12	2.38
1975-10-13	2.14
1975-10-14	2.14
1975-10-15	1.91
1975-10-16	1.7
1975-10-17	1.63
1975-10-18	1.63
1975-10-19	1.44
1975-10-20	1.44
1975-10-21	1.5
1975-10-22	1.38
1975-10-23	1.44
1975-10-24	1.5
1975-10-25	1.57
1975-10-26	1.57
1975-10-27	1.63
1975-10-28	1.84
1975-10-29	2.14
1975-10-30	2.56
1975-10-31	2.74
1975-11-01	5.1
1975-11-02	5.25
1975-11-03	5.1
1975-11-04	4.96
1975-11-05	4.82
1975-11-06	4.82
1975-11-07	4.16
1975-11-08	3.03
1975-11-09	2.14
1975-11-10	1.91
1975-11-11	1.63
1975-11-12	1.63
1975-11-13	1.63
1975-11-14	1.44
1975-11-15	1.44
1975-11-16	1.27
1975-11-17	1.27
1975-11-18	1.16
1975-11-19	1.11
1975-11-20	1.06
1975-11-21	1.01
1975-11-22	1.06
1975-11-23	1.11
1975-11-24	1.21
1975-11-25	1.44
1975-11-26	1.38
1975-11-27	1.06
1975-11-28	0.97
1975-11-29	0.92
1975-11-30	0.92
1975-12-01	1.06
1975-12-02	1.06
1975-12-03	1.16
1975-12-04	1.5
1975-12-05	1.44
1975-12-06	1.27
1975-12-07	1.21
1975-12-08	1.06
1975-12-09	1.77
1975-12-10	1.21
1975-12-11	1.44
1975-12-12	1.5
1975-12-13	1.5
1975-12-14	1.63
1975-12-15	1.63
1975-12-16	1.7
1975-12-17	1.77
1975-12-18	1.84
1975-12-19	1.84
1975-12-20	2.14
1975-12-21	2.38
1975-12-22	3.03
1975-12-23	2.56
1975-12-24	2.14
1975-12-25	1.77
1975-12-26	1.91
1975-12-27	2.22
1975-12-28	2.56
1975-12-29	3.68
1975-12-30	2.65
1975-12-31	2.74
1976-01-01	2.38
1976-01-02	2.14
1976-01-03	1.63
1976-01-04	1.5
1976-01-05	1.44
1976-01-06	1.63
1976-01-07	2.06
1976-01-08	4.68
1976-01-09	2.14
1976-01-10	1.44
1976-01-11	1.38
1976-01-12	1.27
1976-01-13	1.21
1976-01-14	1.11
1976-01-15	1.11
1976-01-16	1.11
1976-01-17	1.16
1976-01-18	1.16
1976-01-19	1.16
1976-01-20	1.11
1976-01-21	0.97
1976-01-22	0.92
1976-01-23	0.88
1976-01-24	0.84
1976-01-25	0.8
1976-01-26	0.72
1976-01-27	0.68
1976-01-28	0.68
1976-01-29	0.68
1976-01-30	0.68
1976-01-31	0.68
1976-02-01	0.58
1976-02-02	0.58
1976-02-03	0.58
1976-02-04	0.55
1976-02-05	0.55
1976-02-06	0.55
1976-02-07	0.58
1976-02-08	0.65
1976-02-09	0.72
1976-02-10	0.76
1976-02-11	0.76
1976-02-12	0.72
1976-02-13	0.72
1976-02-14	0.72
1976-02-15	0.72
1976-02-16	0.8
1976-02-17	0.8
1976-02-18	0.8
1976-02-19	1.44
1976-02-20	1.77
1976-02-21	2.14
1976-02-22	2.56
1976-02-23	6.02
1976-02-24	4.04
1976-02-25	3.03
1976-02-26	1.77
1976-02-27	1.57
1976-02-28	1.44
1976-02-29	1.33
1976-03-01	1.21
1976-03-02	1.16
1976-03-03	1.21
1976-03-04	1.21
1976-03-05	1.16
1976-03-06	1.11
1976-03-07	1.11
1976-03-08	0.92
1976-03-09	0.88
1976-03-10	0.76
1976-03-11	0.8
1976-03-12	0.8
1976-03-13	0.76
1976-03-14	0.72
1976-03-15	0.72
1976-03-16	0.68
1976-03-17	0.68
1976-03-18	0.65
1976-03-19	0.65
1976-03-20	0.65
1976-03-21	0.68
1976-03-22	0.68
1976-03-23	0.65
1976-03-24	0.65
1976-03-25	0.65
1976-03-26	0.65
1976-03-27	0.72
1976-03-28	1.01
1976-03-29	2.74
1976-03-30	1.44
1976-03-31	1.16
1976-04-01	1.11
1976-04-02	1.11
1976-04-03	1.06
1976-04-04	1.01
1976-04-05	1.06
1976-04-06	1.01
1976-04-07	1.11
1976-04-08	1.21
1976-04-09	1.16
1976-04-10	1.11
1976-04-11	1.11
1976-04-12	1.06
1976-04-13	1.11
1976-04-14	1.11
1976-04-15	1.16
1976-04-16	1.11
1976-04-17	1.11
1976-04-18	1.21
1976-04-19	1.16
1976-04-20	1.16
1976-04-21	1.21
1976-04-22	1.33
1976-04-23	1.27
1976-04-24	1.16
1976-04-25	1.21
1976-04-26	1.27
1976-04-27	1.27
1976-04-28	1.33
1976-04-29	1.38
1976-04-30	1.33
1976-05-01	1.33
1976-05-02	1.33
1976-05-03	1.38
1976-05-04	1.33
1976-05-05	1.33
1976-05-06	1.44
1976-05-07	1.77
1976-05-08	2.38
1976-05-09	6.02
1976-05-10	6.18
1976-05-11	10.77
1976-05-12	6.35
1976-05-13	6.18
1976-05-14	6.02
1976-05-15	5.55
1976-05-16	6.47
1976-05-17	6.96
1976-05-18	7.74
1976-05-19	13.11
1976-05-20	14.5
1976-05-21	14.09
1976-05-22	13.89
1976-05-23	13.3
1976-05-24	13.5
1976-05-25	14.71
1976-05-26	20.01
1976-05-27	18.76
1976-05-28	15.99
1976-05-29	13.3
1976-05-30	12.92
1976-05-31	13.3
1976-06-01	13.3
1976-06-02	16.65
1976-06-03	15.99
1976-06-04	15.34
1976-06-05	15.99
1976-06-06	18.76
1976-06-07	18.76
1976-06-08	20.01
1976-06-09	19.26
1976-06-10	25.26
1976-06-11	22.67
1976-06-12	22.67
1976-06-13	20.01
1976-06-14	23.51
1976-06-15	22.12
1976-06-16	20.27
1976-06-17	18.76
1976-06-18	19.26
1976-06-19	20.01
1976-06-20	18.76
1976-06-21	18.76
1976-06-22	17.81
1976-06-23	18.52
1976-06-24	19.01
1976-06-25	18.76
1976-06-26	20.01
1976-06-27	35.66
1976-06-28	28.35
1976-06-29	26.77
1976-06-30	24.66
1976-07-01	21.31
1976-07-02	21.58
1976-07-03	21.31
1976-07-04	22.67
1976-07-05	21.58
1976-07-06	21.31
1976-07-07	21.05
1976-07-08	21.05
1976-07-09	20.27
1976-07-10	20.01
1976-07-11	20.79
1976-07-12	21.31
1976-07-13	21.58
1976-07-14	20.01
1976-07-15	20.01
1976-07-16	20.79
1976-07-17	21.31
1976-07-18	20.01
1976-07-19	20.01
1976-07-20	19.26
1976-07-21	15.99
1976-07-22	13.3
1976-07-23	10.6
1976-07-24	11.46
1976-07-25	10.94
1976-07-26	11.99
1976-07-27	12.73
1976-07-28	18.28
1976-07-29	13.5
1976-07-30	9.79
1976-07-31	9.17
1976-08-01	7.61
1976-08-02	7.34
1976-08-03	6.96
1976-08-04	6.96
1976-08-05	6.83
1976-08-06	6.96
1976-08-07	6.71
1976-08-08	6.59
1976-08-09	6.47
1976-08-10	6.59
1976-08-11	6.96
1976-08-12	6.71
1976-08-13	6.83
1976-08-14	6.96
1976-08-15	6.47
1976-08-16	5.86
1976-08-17	5.86
1976-08-18	5.4
1976-08-19	5.4
1976-08-20	5.86
1976-08-21	6.35
1976-08-22	6.47
1976-08-23	6.18
1976-08-24	6.18
1976-08-25	6.47
1976-08-26	6.59
1976-08-27	6.59
1976-08-28	6.96
1976-08-29	7.61
1976-08-30	13.3
1976-08-31	11.46
1976-09-01	9.79
1976-09-02	6.96
1976-09-03	6.59
1976-09-04	6.02
1976-09-05	5.55
1976-09-06	5.4
1976-09-07	8.44
