Model: Vann
Version: 0.1
Period: 1998-09-29 to 2015-09-30
Description: The is a toy example
Model input: SeNorge
Path to model results: Local folder on my computer




Station	KGE	NSE	NSE_bench	Intercept	Slope	r2	Bias	Pbias
103.1	0.87	0.82	0.6	0.53	0.83	0.82	0.02	0.6
103.40	0.89	0.83	0.63	0.41	0.86	0.83	0.03	1
104.23	0.77	0.7	0.63	1.5	0.7	0.7	-0.05	-0.9
105.1	0.66	0.63	0.6	2.22	0.6	0.64	0.52	12.1
107.3	0.89	0.79	0.75	0.5	0.88	0.8	0.01	0.3
109.29	0.87	0.8	0.61	0.58	0.82	0.8	0.01	0.3
109.42	0.9	0.84	0.69	0.32	0.87	0.84	0	-0.1
109.9	0.88	0.84	0.67	0.35	0.84	0.84	0.05	2.5
112.8	0.76	0.67	0.52	1.27	0.69	0.67	0.05	1.3
12.114	0.83	0.8	0.76	0.49	0.78	0.81	0.08	4.2
12.150	0.78	0.74	0.59	0.47	0.71	0.74	0.04	2.6
12.171	0.81	0.8	0.68	0.51	0.77	0.8	0.11	6.6
12.178	0.8	0.82	0.77	0.68	0.77	0.83	0.19	8.9
12.192	0.72	0.7	0.67	0.92	0.65	0.71	0.14	6.3
12.193	0.68	0.72	0.69	0.77	0.65	0.74	0.25	16.4
12.209	0.85	0.83	0.74	0.45	0.8	0.83	0.04	1.9
12.215	0.88	0.86	0.74	0.38	0.85	0.86	-0.06	-2.2
12.286	0.59	0.51	0.31	0.58	0.51	0.51	0	-0.3
12.290	0.6	0.48	0.4	0.85	0.52	0.49	-0.05	-2.5
12.70	0.81	0.85	0.72	0.5	0.8	0.85	0.17	10.7
12.97	0.44	0.32	0.18	1.46	0.36	0.32	-0.01	-0.5
121.20	0.79	0.7	0.59	0.68	0.73	0.7	0.08	3.6
122.11	0.85	0.79	0.57	0.48	0.81	0.79	0.03	1.4
122.17	0.75	0.69	0.53	0.63	0.68	0.69	-0.02	-1
122.9	0.88	0.82	0.67	0.39	0.84	0.82	0.03	1.3
123.31	0.79	0.7	0.59	1.15	0.73	0.7	0.03	0.7
124.2	0.79	0.71	0.6	0.98	0.73	0.71	0.02	0.5
127.11	0.8	0.78	0.64	1.08	0.76	0.79	0.24	6.9
127.13	0.77	0.69	0.63	0.92	0.71	0.69	0.02	0.6
133.7	0.79	0.78	0.77	1.71	0.75	0.79	0.43	8.5
138.1	0.74	0.77	0.76	1.75	0.73	0.79	0.61	14.7
139.15	0.73	0.61	0.51	0.59	0.66	0.62	-0.08	-4
139.35	0.79	0.74	0.55	0.78	0.73	0.74	-0.11	-3.4
148.2	0.83	0.85	0.84	1.4	0.81	0.86	0.44	8.9
15.15	0.61	0.54	0.45	0.91	0.53	0.54	0	-0.1
15.174	0.72	0.72	0.7	0.87	0.68	0.72	0.24	12.1
15.21	0.77	0.73	0.69	0.83	0.71	0.74	0.13	5.6
15.49	0.79	0.79	0.62	0.53	0.76	0.8	0.16	10.5
15.53	0.78	0.73	0.62	0.44	0.72	0.73	0	0.1
15.79	0.85	0.81	0.56	0.49	0.8	0.81	0.05	2.4
151.15	0.88	0.82	0.63	0.61	0.84	0.82	0	0
152.4	0.85	0.84	0.79	1.14	0.81	0.84	0.12	2.3
156.10	0.82	0.79	0.55	2.16	0.76	0.79	0.13	1.5
157.3	0.76	0.67	0.64	2.63	0.7	0.68	-0.32	-3.3
16.122	0.8	0.77	0.67	0.75	0.74	0.77	0.09	3.5
16.132	0.86	0.81	0.73	0.41	0.82	0.82	-0.18	-5.4
16.140	0.89	0.85	0.66	0.6	0.85	0.85	0.1	2.8
16.193	0.75	0.69	0.65	0.95	0.68	0.69	0.06	2.1
16.66	0.77	0.74	0.61	0.53	0.7	0.74	0.04	2.6
16.75	0.84	0.83	0.7	0.54	0.8	0.84	0.1	4.5
160.7	0.76	0.68	0.64	2.56	0.69	0.68	0.15	2
161.7	0.87	0.79	0.56	0.6	0.82	0.79	-0.02	-0.7
162.3	0.82	0.76	0.61	0.77	0.77	0.76	0.1	3.6
163.5	0.82	0.75	0.5	0.67	0.77	0.75	-0.07	-2.2
165.6	0.68	0.65	0.63	1.7	0.6	0.65	-0.07	-1.6
168.2	0.8	0.78	0.72	1.21	0.74	0.79	-0.03	-0.7
173.8	0.86	0.82	0.41	0.73	0.82	0.82	0.08	2.4
174.11	0.68	0.6	0.33	1.58	0.6	0.6	-0.03	-0.8
174.3	0.7	0.63	0.43	1.41	0.62	0.63	0.04	1.1
177.4	0.75	0.7	0.66	2.57	0.68	0.7	0.02	0.3
18.10	0.81	0.83	0.82	0.81	0.78	0.84	0.24	9.2
19.107	0.72	0.76	0.72	1.38	0.68	0.77	0.38	11.9
191.2	0.87	0.83	0.65	0.7	0.82	0.83	0.04	1
196.35	0.88	0.8	0.55	0.35	0.84	0.8	-0.02	-0.8
2.11	0.83	0.79	0.58	0.43	0.78	0.79	0.01	0.3
2.142	0.73	0.64	0.51	0.45	0.65	0.64	-0.05	-3.5
2.145	0.92	0.89	0.76	0.12	0.9	0.89	-0.07	-3.6
2.265	0.86	0.81	0.6	0.28	0.81	0.81	0.01	0.8
2.268	0.88	0.87	0.67	0.4	0.84	0.87	-0.07	-2.4
2.279	0.78	0.76	0.71	0.59	0.72	0.76	0.06	3.2
2.28	0.81	0.77	0.65	0.5	0.75	0.78	0.04	2.1
2.291	0.84	0.8	0.45	1.09	0.79	0.8	0.17	4
2.32	0.93	0.89	0.78	0.15	0.9	0.89	-0.05	-2.2
2.323	0.63	0.57	0.47	1	0.55	0.57	0.01	0.6
2.439	0.79	0.75	0.54	0.62	0.73	0.75	0.06	2.8
2.463	0.83	0.81	0.71	0.5	0.78	0.81	0.08	4.3
2.479	0.85	0.81	0.66	0.42	0.79	0.81	0	0.2
2.604	0.88	0.78	0.59	0.07	0.89	0.8	-0.09	-6
2.614	0.92	0.89	0.75	0.19	0.89	0.89	0.02	1.3
2.633	0.72	0.71	0.68	0.79	0.66	0.72	0.16	8.4
2.634	0.7	0.64	0.53	0.52	0.62	0.64	0	-0.3
20.2	0.81	0.78	0.72	0.93	0.76	0.78	0.07	2.1
200.4	0.8	0.77	0.7	1.3	0.74	0.77	0.02	0.4
