Model: DDD
Version: 20161202
Period: 2003-08-31 to 2014-12-31
Time of file generation: 2017-01-05 13:19:33
Description: No extra information
Model input: Probably SeNorge v2.0
Path to model results: //nve/fil/h/HB/HB-modellering/DDDtestbenk/DDD_kalibrering/Jansmaskin/



Station	KGE2009	KGE2012	r	Beta	Alpha	Gamma	NSE	NSE_bench	Intercept	Slope	r2	Bias	Pbias
103.1	0.89	0.89	0.89	1.01	1.01	1.01	0.78	0.5	0.31	0.9	0.79	0.02	0.6
104.23	0.78	0.78	0.78	1.03	1.03	1.02	0.54	0.44	1.08	0.82	0.61	0.16	3.1
105.1	0.72	0.78	0.86	0.89	0.89	0.88	0.72	0.69	0.98	0.67	0.73	-0.47	-10.8
107.3	0.87	0.87	0.87	1.01	1.01	0.98	0.75	0.7	0.59	0.86	0.76	0.02	0.6
109.29	0.89	0.89	0.89	1.03	1.03	0.99	0.78	0.56	0.39	0.91	0.8	0.09	2.8
109.42	0.81	0.8	0.84	0.99	0.99	1.12	0.64	0.29	0.15	0.93	0.71	-0.03	-1
109.9	0.88	0.89	0.89	1.03	1.03	1.02	0.77	0.54	0.18	0.94	0.8	0.05	2.7
112.8	0.82	0.82	0.82	1.02	1.02	1	0.63	0.47	0.76	0.83	0.67	0.07	1.7
12.171	0.89	0.9	0.9	1.04	1.04	1	0.8	0.69	0.16	0.94	0.81	0.06	3.6
12.178	0.92	0.92	0.92	0.99	0.99	0.98	0.85	0.81	0.2	0.9	0.85	-0.01	-0.6
12.192	0.86	0.86	0.87	0.99	0.99	0.94	0.76	0.74	0.38	0.81	0.76	-0.02	-1
12.193	0.83	0.83	0.83	0.99	0.99	0.99	0.67	0.64	0.25	0.82	0.7	-0.01	-0.8
12.209	0.9	0.9	0.91	1.02	1.02	1.02	0.8	0.71	0.16	0.94	0.82	0.03	1.5
12.215	0.91	0.92	0.92	0.99	0.99	0.98	0.85	0.72	0.26	0.89	0.85	-0.04	-1.5
12.70	0.92	0.92	0.92	1.01	1.01	1	0.84	0.73	0.12	0.93	0.85	0.01	0.9
121.20	0.83	0.83	0.84	0.99	0.99	0.97	0.68	0.58	0.42	0.81	0.7	-0.02	-1
122.11	0.89	0.89	0.89	0.99	0.99	1	0.78	0.57	0.25	0.88	0.79	-0.03	-1.3
122.9	0.91	0.91	0.91	1.01	1.01	0.98	0.83	0.68	0.24	0.91	0.83	0.03	1.1
123.31	0.85	0.85	0.85	0.99	0.99	0.98	0.71	0.61	0.67	0.83	0.73	-0.02	-0.6
124.2	0.87	0.87	0.87	0.98	0.98	1.02	0.74	0.65	0.39	0.88	0.76	-0.05	-1.5
127.11	0.88	0.88	0.88	0.98	0.98	0.99	0.77	0.63	0.41	0.86	0.78	-0.06	-1.7
127.13	0.85	0.85	0.85	0.98	0.98	0.98	0.71	0.65	0.5	0.82	0.72	-0.05	-1.6
133.7	0.86	0.88	0.89	0.96	0.96	0.97	0.78	0.77	0.69	0.83	0.78	-0.2	-3.9
138.1	0.85	0.87	0.89	0.95	0.95	0.96	0.79	0.77	0.58	0.81	0.79	-0.2	-4.9
139.15	0.76	0.76	0.76	0.98	0.98	0.97	0.55	0.43	0.51	0.73	0.58	-0.04	-1.8
139.35	0.74	0.79	0.84	0.91	0.91	0.9	0.7	0.5	0.69	0.69	0.71	-0.3	-9.5
148.2	0.93	0.93	0.94	1	1	0.96	0.89	0.87	0.46	0.91	0.89	0	0
15.21	0.86	0.86	0.86	1.01	1.01	1.01	0.72	0.68	0.3	0.88	0.75	0.02	0.8
15.49	0.9	0.9	0.9	1.01	1.01	0.99	0.81	0.68	0.16	0.9	0.82	0.01	0.5
15.53	0.85	0.85	0.85	0.97	0.97	0.99	0.72	0.61	0.24	0.82	0.73	-0.04	-2.7
15.79	0.92	0.92	0.92	1	1	1	0.83	0.61	0.18	0.91	0.84	-0.01	-0.5
151.15	0.88	0.88	0.89	1	1	0.96	0.78	0.55	0.57	0.85	0.78	0.01	0.3
152.4	0.89	0.89	0.9	1.01	1.01	0.94	0.81	0.74	0.79	0.86	0.81	0.03	0.6
156.10	0.75	0.75	0.79	1.01	1.01	0.87	0.61	0.19	2.8	0.68	0.62	0.05	0.6
157.3	0.8	0.8	0.8	0.99	0.99	1.01	0.61	0.56	1.87	0.8	0.65	-0.12	-1.2
16.122	0.85	0.85	0.85	0.99	0.99	1.01	0.71	0.62	0.33	0.86	0.73	-0.02	-0.8
16.132	0.85	0.86	0.87	1.03	1.03	1.04	0.72	0.58	0.3	0.93	0.76	0.09	2.8
16.66	0.75	0.8	0.84	1.1	1.1	1.05	0.59	0.42	0.22	0.97	0.7	0.16	10.1
16.75	0.93	0.93	0.93	0.98	0.98	1	0.87	0.78	0.15	0.91	0.87	-0.04	-1.8
161.7	0.89	0.89	0.9	1.02	1.02	1	0.79	0.57	0.36	0.92	0.8	0.08	2.3
162.3	0.87	0.88	0.88	1.03	1.03	1.01	0.76	0.57	0.31	0.92	0.78	0.09	3.1
163.5	0.84	0.84	0.85	0.98	0.98	1	0.7	0.4	0.48	0.82	0.71	-0.07	-2.3
165.6	0.78	0.79	0.79	0.96	0.96	0.98	0.6	0.58	1	0.75	0.63	-0.19	-4
168.2	0.87	0.87	0.87	0.97	0.97	1.01	0.75	0.67	0.57	0.86	0.76	-0.15	-3
173.8	0.86	0.87	0.89	1.01	1.01	1.07	0.75	0.23	0.18	0.96	0.78	0.04	1.3
174.3	0.76	0.77	0.77	1	1	0.94	0.57	0.36	0.98	0.72	0.6	-0.01	-0.4
177.4	0.78	0.78	0.79	0.97	0.97	1.03	0.57	0.5	1.51	0.78	0.62	-0.25	-3.1
18.10	0.92	0.92	0.92	1.01	1.01	0.99	0.83	0.82	0.22	0.92	0.84	0.02	0.9
19.107	0.92	0.92	0.92	0.99	0.99	0.98	0.85	0.83	0.28	0.9	0.85	-0.02	-0.7
191.2	0.88	0.88	0.88	1	1	0.96	0.77	0.54	0.55	0.85	0.78	0	-0.1
196.35	0.82	0.83	0.85	1.02	1.02	1.08	0.66	0.24	0.2	0.93	0.72	0.05	2.1
2.11	0.89	0.89	0.9	0.98	0.98	1.02	0.79	0.59	0.17	0.9	0.8	-0.03	-1.5
2.142	0.83	0.84	0.84	0.96	0.96	0.98	0.7	0.61	0.24	0.79	0.71	-0.06	-4
2.145	0.87	0.87	0.88	0.98	0.98	1.05	0.75	0.5	0.15	0.91	0.77	-0.04	-1.7
2.268	0.91	0.92	0.92	0.99	0.99	0.97	0.85	0.63	0.3	0.89	0.85	-0.04	-1.2
2.279	0.85	0.85	0.85	0.98	0.98	1.01	0.71	0.64	0.24	0.85	0.73	-0.03	-1.7
2.291	0.89	0.89	0.89	1.02	1.02	1	0.78	0.43	0.45	0.91	0.8	0.09	2.1
2.32	0.86	0.85	0.88	0.99	0.99	1.08	0.73	0.48	0.11	0.93	0.77	-0.03	-1.4
2.323	0.78	0.78	0.78	1	1	0.98	0.57	0.48	0.5	0.76	0.61	-0.01	-0.4
2.463	0.76	0.79	0.88	1.04	1.04	1.17	0.68	0.53	-0.06	1.07	0.78	0.07	3.7
2.604	0.68	0.73	0.78	1.06	1.06	1.15	0.41	-0.04	0.16	0.96	0.61	0.1	6.3
2.614	0.91	0.92	0.92	1.02	1.02	1.02	0.84	0.65	0.1	0.95	0.85	0.02	1.6
2.633	0.9	0.9	0.9	1.01	1.01	0.99	0.8	0.77	0.19	0.9	0.81	0.01	0.7
20.2	0.88	0.88	0.89	0.97	0.97	1.01	0.78	0.72	0.36	0.87	0.79	-0.09	-2.5
200.4	0.85	0.85	0.86	0.99	0.99	0.99	0.71	0.6	0.76	0.84	0.73	-0.03	-0.5
203.2	0.89	0.9	0.91	0.95	0.95	1	0.82	0.61	0.36	0.87	0.82	-0.21	-4.8
206.3	0.81	0.81	0.81	1	1	1.04	0.6	0.17	0.4	0.84	0.66	0	0
208.3	0.86	0.86	0.86	0.99	0.99	0.97	0.73	0.55	0.22	0.83	0.74	-0.01	-0.7
21.47	0.76	0.78	0.8	0.92	0.92	1	0.62	0.41	0.65	0.73	0.63	-0.29	-8.5
212.10	0.9	0.9	0.9	1.02	1.02	0.97	0.81	0.66	0.14	0.89	0.82	0.02	2
212.49	0.87	0.87	0.87	0.98	0.98	0.99	0.76	0.48	0.29	0.85	0.76	-0.04	-1.6
22.16	0.91	0.91	0.92	0.99	0.99	0.97	0.84	0.83	0.4	0.88	0.85	-0.05	-1.4
22.22	0.92	0.93	0.94	0.98	0.98	0.98	0.88	0.86	0.3	0.9	0.88	-0.09	-2.3
22.4	0.87	0.87	0.88	1	1	1.06	0.75	0.72	0.25	0.94	0.78	0.01	0.3
223.2	0.86	0.86	0.86	0.99	0.99	0.99	0.73	0.52	0.23	0.85	0.74	-0.02	-1.2
230.1	0.85	0.85	0.85	1.01	1.01	0.98	0.71	0.55	0.47	0.84	0.73	0.03	1
234.13	0.75	0.72	0.83	0.83	0.83	1.14	0.65	0.4	0.06	0.79	0.69	-0.22	-16.9
24.8	0.94	0.94	0.95	1	1	0.98	0.9	0.88	0.38	0.93	0.9	0	0
24.9	0.94	0.94	0.94	1	1	1.01	0.89	0.87	0.26	0.95	0.89	-0.02	-0.4
247.3	0.87	0.87	0.88	1.01	1.01	1.03	0.74	0.53	0.14	0.91	0.77	0.02	1.1
25.24	0.89	0.88	0.9	0.97	0.97	1.05	0.79	0.59	0.33	0.92	0.81	-0.19	-3.1
26.20	0.9	0.9	0.9	1	1	0.98	0.8	0.78	0.82	0.89	0.81	0.02	0.3
26.26	0.78	0.78	0.78	0.99	0.99	0.99	0.58	0.46	1.26	0.77	0.62	-0.06	-1
26.29	0.92	0.93	0.93	0.98	0.98	0.98	0.87	0.85	0.55	0.9	0.87	-0.12	-1.9
27.16	0.84	0.84	0.84	0.99	0.99	1	0.68	0.66	1.29	0.83	0.71	-0.07	-0.8
27.24	0.85	0.85	0.86	1	1	0.99	0.71	0.67	1.1	0.84	0.73	-0.01	-0.2
28.7	0.91	0.9	0.91	0.98	0.98	1.04	0.82	0.77	0.25	0.93	0.83	-0.11	-2.2
3.22	0.85	0.86	0.86	0.98	0.98	0.98	0.73	0.7	0.22	0.83	0.74	-0.03	-2.1
311.460	0.87	0.87	0.87	0.99	0.99	0.99	0.75	0.53	0.26	0.86	0.76	-0.01	-0.7
313.10	0.88	0.88	0.89	0.97	0.97	1.01	0.78	0.73	0.13	0.88	0.79	-0.04	-2.7
41.1	0.89	0.89	0.9	1	1	0.98	0.8	0.77	1.15	0.87	0.8	-0.04	-0.4
42.2	0.78	0.78	0.78	1.02	1.02	0.99	0.56	0.55	2.08	0.79	0.61	0.2	2.2
46.9	0.86	0.86	0.87	0.99	0.99	0.96	0.75	0.51	2.39	0.83	0.76	-0.16	-1.1
48.1	0.92	0.92	0.92	1	1	0.98	0.84	0.76	0.73	0.9	0.84	0	0.1
48.5	0.89	0.89	0.89	1	1	0.98	0.79	0.6	0.95	0.87	0.79	0.01	0.2
50.1	0.89	0.89	0.89	0.99	0.99	0.99	0.79	0.56	0.54	0.88	0.8	-0.05	-1
50.13	0.84	0.84	0.85	0.96	0.96	1.01	0.71	0.45	0.45	0.83	0.72	-0.14	-4
55.4	0.9	0.89	0.9	1.02	1.02	0.95	0.81	0.8	1.32	0.88	0.82	0.2	2.2
55.5	0.79	0.79	0.79	0.99	0.99	0.98	0.6	0.58	2.59	0.77	0.63	-0.1	-0.9
6.10	0.83	0.83	0.83	0.99	0.99	0.98	0.67	0.62	0.36	0.81	0.69	-0.02	-1.1
62.10	0.9	0.9	0.9	1	1	1	0.8	0.68	0.63	0.9	0.81	-0.03	-0.4
62.18	0.78	0.78	0.78	1	1	0.96	0.59	0.55	2.41	0.75	0.61	-0.01	-0.2
62.5	0.92	0.93	0.93	0.99	0.99	0.98	0.86	0.8	0.5	0.91	0.86	-0.03	-0.5
72.5	0.88	0.88	0.88	0.99	0.99	1	0.76	0.48	0.69	0.87	0.77	-0.05	-0.9
75.23	0.87	0.87	0.88	0.98	0.98	1.02	0.75	0.56	0.43	0.88	0.77	-0.1	-2.2
76.5	0.95	0.95	0.95	0.98	0.98	1	0.9	0.48	0.44	0.94	0.9	-0.15	-1.5
77.3	0.9	0.89	0.9	1.01	1.01	0.97	0.8	0.66	0.87	0.88	0.81	0.07	1
78.8	0.89	0.89	0.9	0.99	0.99	0.96	0.81	0.46	1.38	0.86	0.82	-0.09	-0.9
79.3	0.81	0.81	0.81	0.98	0.98	0.98	0.63	0.55	1.33	0.78	0.66	-0.13	-1.9
8.2	0.85	0.85	0.85	1.01	1.01	0.99	0.71	0.67	0.29	0.85	0.73	0.01	0.5
8.6	0.76	0.76	0.76	1.01	1.01	0.98	0.53	0.5	0.46	0.75	0.58	0.02	1.2
82.4	0.93	0.93	0.93	1	1	0.99	0.87	0.86	0.61	0.92	0.87	-0.01	-0.1
83.2	0.89	0.89	0.89	1	1	0.96	0.8	0.68	1.09	0.86	0.8	0.04	0.5
