Model: HBV
Version: 0.1
Period: 2003-08-31 to 2014-12-31
Time of file generation: 2016-11-14 11:40:31
Description: Original version
Model input: SeNorge
Path to model results: Local folder on my computer



Station	KGE2009	KGE2012	r	Beta	Alpha	Gamma	NSE	NSE_bench	Intercept	Slope	r2	Bias	Pbias
103.1	0.85	0.86	0.86	1.04	1.04	1.01	0.71	0.36	0.41	0.91	0.74	0.12	4
103.40	0.89	0.89	0.9	1.03	1.03	0.98	0.8	0.54	0.33	0.91	0.81	0.09	3.1
104.23	0.82	0.83	0.83	1.04	1.04	1.01	0.64	0.56	0.84	0.88	0.69	0.21	4.1
105.1	0.76	0.76	0.76	0.99	0.99	0.94	0.55	0.51	1.21	0.72	0.58	-0.02	-0.5
107.3	0.88	0.87	0.89	1.03	1.03	0.93	0.79	0.75	0.71	0.85	0.8	0.11	2.6
109.29	0.9	0.9	0.91	1.03	1.03	0.99	0.81	0.61	0.34	0.93	0.82	0.1	3
109.42	0.82	0.83	0.84	1.03	1.03	1.02	0.65	0.32	0.38	0.88	0.7	0.09	3.4
109.9	0.9	0.9	0.91	1.04	1.04	0.99	0.81	0.61	0.2	0.93	0.82	0.07	3.7
112.8	0.81	0.82	0.82	0.99	0.99	0.99	0.64	0.48	0.77	0.8	0.67	-0.05	-1.3
12.171	0.86	0.87	0.87	1.04	1.04	0.99	0.74	0.6	0.23	0.9	0.76	0.07	4.5
12.178	0.92	0.91	0.92	1.01	1.01	0.98	0.84	0.79	0.22	0.91	0.84	0.03	1.5
12.192	0.83	0.84	0.84	0.97	0.97	0.97	0.7	0.67	0.39	0.79	0.71	-0.07	-3
12.193	0.82	0.82	0.82	1	1	1	0.63	0.59	0.26	0.82	0.67	0	0.1
12.209	0.89	0.89	0.9	1.03	1.03	1	0.79	0.69	0.22	0.92	0.81	0.06	2.8
12.215	0.92	0.92	0.93	0.99	0.99	1	0.85	0.73	0.21	0.92	0.86	-0.03	-1.1
12.290	0.61	0.61	0.61	1.02	1.02	1.01	0.19	0.08	0.72	0.63	0.37	0.04	2.3
12.70	0.9	0.9	0.91	1.01	1.01	0.98	0.81	0.68	0.18	0.89	0.82	0.01	0.5
12.97	0.77	0.76	0.78	1.06	1.06	0.92	0.57	0.5	0.68	0.76	0.62	0.14	6.1
121.20	0.81	0.81	0.81	1.02	1.02	0.97	0.62	0.5	0.5	0.8	0.65	0.05	2
122.11	0.87	0.87	0.87	1	1	0.98	0.76	0.52	0.35	0.85	0.76	-0.01	-0.5
122.9	0.88	0.88	0.88	1	1	0.99	0.77	0.57	0.29	0.87	0.78	-0.01	-0.3
123.31	0.81	0.8	0.81	1.01	1.01	0.96	0.63	0.5	0.92	0.78	0.66	0.04	0.9
124.2	0.82	0.82	0.82	1.01	1.01	0.99	0.64	0.52	0.68	0.81	0.67	0.02	0.6
127.11	0.83	0.84	0.85	0.97	0.97	0.96	0.72	0.54	0.62	0.79	0.72	-0.09	-2.5
127.13	0.82	0.83	0.83	0.99	0.99	0.99	0.66	0.59	0.56	0.8	0.68	-0.04	-1.4
133.7	0.83	0.84	0.84	0.98	0.98	0.96	0.7	0.68	0.96	0.8	0.71	-0.1	-1.9
138.1	0.81	0.81	0.82	1	1	0.94	0.66	0.63	0.96	0.77	0.67	0	0
139.15	0.77	0.77	0.77	1.03	1.03	0.98	0.53	0.41	0.51	0.78	0.59	0.06	2.9
139.35	0.85	0.85	0.86	1.04	1.04	0.99	0.7	0.5	0.49	0.89	0.74	0.13	4.1
148.2	0.91	0.91	0.91	1.01	1.01	0.97	0.83	0.81	0.58	0.89	0.83	0.04	0.8
15.21	0.85	0.85	0.85	1.02	1.02	1.03	0.69	0.65	0.29	0.89	0.73	0.04	1.7
15.49	0.87	0.86	0.87	1.01	1.01	0.97	0.74	0.57	0.24	0.85	0.75	0.02	1.4
15.53	0.84	0.84	0.84	0.98	0.98	0.99	0.69	0.58	0.26	0.82	0.71	-0.03	-1.8
15.79	0.89	0.89	0.89	1.02	1.02	0.99	0.77	0.47	0.28	0.89	0.79	0.05	2.1
151.15	0.88	0.88	0.89	0.97	0.97	1.01	0.78	0.56	0.38	0.87	0.79	-0.11	-2.9
152.4	0.88	0.88	0.89	0.99	0.99	0.97	0.78	0.7	0.73	0.85	0.79	-0.05	-1
156.10	0.82	0.83	0.84	0.98	0.98	0.96	0.69	0.35	1.72	0.78	0.7	-0.16	-1.8
157.3	0.84	0.84	0.84	1.01	1.01	0.99	0.67	0.63	1.73	0.83	0.7	0.07	0.7
16.122	0.86	0.86	0.87	1.02	1.02	1	0.73	0.64	0.33	0.88	0.75	0.04	1.6
16.132	0.89	0.89	0.9	1.01	1.01	1.01	0.79	0.68	0.32	0.91	0.8	0.04	1.4
16.66	0.84	0.84	0.84	0.99	0.99	0.98	0.69	0.56	0.29	0.81	0.7	-0.01	-0.6
16.75	0.9	0.91	0.91	0.99	0.99	0.98	0.82	0.71	0.24	0.88	0.83	-0.02	-0.8
161.7	0.82	0.83	0.83	0.99	0.99	0.96	0.68	0.34	0.72	0.79	0.69	-0.04	-1.1
162.3	0.78	0.77	0.78	1.03	1.03	0.94	0.58	0.26	0.77	0.76	0.61	0.08	2.9
163.5	0.82	0.82	0.82	0.99	0.99	0.98	0.65	0.3	0.61	0.8	0.67	-0.04	-1.2
165.6	0.75	0.76	0.77	0.98	0.98	0.94	0.56	0.54	1.27	0.7	0.59	-0.11	-2.4
168.2	0.82	0.82	0.83	0.97	0.97	0.99	0.67	0.57	0.9	0.79	0.68	-0.16	-3.2
173.8	0.9	0.89	0.9	1.03	1.03	0.97	0.8	0.41	0.4	0.91	0.81	0.11	3.3
174.3	0.74	0.74	0.75	1.03	1.03	0.96	0.5	0.25	1.06	0.73	0.56	0.1	2.9
177.4	0.8	0.8	0.81	0.95	0.95	1.02	0.63	0.57	1.35	0.78	0.65	-0.44	-5.4
18.10	0.89	0.89	0.89	1.01	1.01	1.01	0.78	0.76	0.26	0.9	0.79	0.02	0.8
19.107	0.85	0.86	0.86	0.98	0.98	0.99	0.72	0.69	0.46	0.83	0.74	-0.06	-1.9
191.2	0.88	0.88	0.88	0.99	0.99	1	0.76	0.52	0.45	0.87	0.77	-0.03	-0.7
196.35	0.82	0.82	0.83	1.04	1.04	1	0.64	0.19	0.4	0.87	0.69	0.1	4.4
2.11	0.88	0.88	0.88	1.01	1.01	1	0.75	0.52	0.23	0.89	0.77	0.03	1.3
2.142	0.78	0.78	0.78	0.99	0.99	1	0.55	0.41	0.31	0.77	0.6	-0.01	-0.6
2.145	0.94	0.93	0.94	1.02	1.02	0.97	0.88	0.77	0.18	0.94	0.89	0.05	2.4
2.268	0.88	0.9	0.91	1.05	1.05	1.02	0.81	0.53	0.21	0.97	0.83	0.14	4.7
2.279	0.85	0.85	0.85	0.99	0.99	1.01	0.7	0.64	0.24	0.86	0.73	-0.01	-0.7
2.28	0.88	0.88	0.89	1.03	1.03	1	0.77	0.64	0.21	0.92	0.79	0.06	3.1
2.291	0.85	0.85	0.89	1.09	1.09	0.96	0.76	0.37	0.65	0.93	0.79	0.37	9.2
2.32	0.92	0.92	0.93	1.03	1.03	0.99	0.85	0.71	0.16	0.95	0.86	0.06	3
2.323	0.76	0.76	0.76	0.99	0.99	0.98	0.53	0.43	0.54	0.74	0.58	-0.02	-1.1
2.463	0.89	0.9	0.9	0.98	0.98	0.97	0.82	0.73	0.21	0.87	0.82	-0.03	-1.9
2.604	0.89	0.89	0.9	1.04	1.04	0.96	0.8	0.64	0.22	0.9	0.81	0.06	4
2.614	0.92	0.92	0.92	1.02	1.02	0.99	0.84	0.65	0.14	0.93	0.85	0.04	2.3
2.633	0.85	0.84	0.85	1.03	1.03	0.96	0.7	0.67	0.33	0.84	0.72	0.06	3.2
20.2	0.88	0.88	0.88	0.98	0.98	1.02	0.75	0.69	0.35	0.88	0.77	-0.05	-1.5
200.4	0.84	0.84	0.85	0.98	0.98	1.01	0.7	0.58	0.73	0.83	0.72	-0.1	-2.1
203.2	0.84	0.85	0.85	0.99	0.99	0.98	0.7	0.35	0.71	0.82	0.72	-0.04	-0.8
206.3	0.78	0.78	0.78	1	1	1	0.56	0.08	0.57	0.78	0.61	0.01	0.4
208.3	0.74	0.71	0.77	1.08	1.08	0.86	0.56	0.26	0.49	0.71	0.59	0.1	7.8
21.47	0.79	0.79	0.79	0.99	0.99	1.02	0.58	0.36	0.66	0.8	0.63	-0.04	-1.1
212.10	0.82	0.81	0.85	1.09	1.09	0.93	0.69	0.45	0.25	0.86	0.72	0.1	9.2
212.49	0.86	0.86	0.86	1	1	1	0.72	0.4	0.31	0.85	0.74	-0.01	-0.3
22.16	0.91	0.91	0.91	1	1	1	0.82	0.8	0.36	0.91	0.83	0	-0.1
22.22	0.9	0.9	0.9	1	1	0.99	0.8	0.77	0.41	0.89	0.81	0.01	0.3
22.4	0.86	0.86	0.87	1.01	1.01	1.03	0.72	0.68	0.46	0.9	0.75	0.03	0.8
223.2	0.82	0.83	0.83	0.97	0.97	0.97	0.68	0.44	0.31	0.78	0.7	-0.05	-3.3
230.1	0.86	0.86	0.86	1.03	1.03	0.97	0.73	0.58	0.46	0.86	0.74	0.08	2.8
234.13	0.72	0.72	0.73	1.04	1.04	1.03	0.41	0.01	0.34	0.78	0.53	0.05	3.8
234.18	0.82	0.82	0.84	1.06	1.06	0.97	0.66	0.37	0.2	0.87	0.7	0.06	6.2
24.8	0.91	0.9	0.91	1.01	1.01	0.98	0.82	0.79	0.59	0.9	0.82	0.04	0.8
24.9	0.92	0.92	0.92	1	1	0.99	0.85	0.83	0.48	0.92	0.85	0.02	0.4
247.3	0.81	0.82	0.82	1.03	1.03	1	0.62	0.31	0.27	0.85	0.67	0.05	3.1
25.24	0.88	0.88	0.9	1	1	1.06	0.78	0.57	0.32	0.95	0.81	0.02	0.3
26.20	0.91	0.91	0.92	1	1	0.99	0.83	0.81	0.67	0.9	0.84	0	-0.1
26.26	0.8	0.8	0.8	1	1	1.01	0.6	0.49	1.04	0.82	0.65	0	0
26.29	0.93	0.93	0.94	0.99	0.99	1	0.87	0.85	0.43	0.92	0.88	-0.09	-1.4
27.16	0.86	0.86	0.86	0.98	0.98	1	0.72	0.7	1.12	0.84	0.74	-0.14	-1.7
27.24	0.91	0.91	0.91	1.01	1.01	0.99	0.82	0.79	0.72	0.91	0.83	0.04	0.6
28.7	0.89	0.89	0.9	0.97	0.97	1.01	0.8	0.74	0.46	0.88	0.81	-0.15	-3.1
3.22	0.78	0.78	0.78	0.98	0.98	0.96	0.59	0.54	0.35	0.74	0.62	-0.04	-2.4
311.460	0.8	0.8	0.8	1.01	1.01	1.02	0.59	0.24	0.35	0.83	0.64	0.02	0.9
311.6	0.83	0.84	0.85	1.04	1.04	1.01	0.68	0.28	0.21	0.9	0.72	0.06	4.1
313.10	0.76	0.76	0.76	1	1	1.02	0.51	0.42	0.29	0.78	0.58	0	0
41.1	0.9	0.9	0.91	1.01	1.01	0.98	0.81	0.79	1.09	0.9	0.82	0.13	1.4
