Model: Vann
Version: 12d67de
Period: 2003-08-31 to 2014-12-31
Time of file generation: 2016-11-02 18:32:21
Description: TinBasic and Hbv, montly potential evapotranspiration, calibrated using NSE
Model input: SeNorge 2.0
Path to model results: C:\Users\jmg\Dropbox\Work\VannData\201611021442_Results



Station	KGE	NSE	NSE_bench	Intercept	Slope	r2	Bias	Pbias
103.1	0.81	0.77	0.49	-0.04	0.86	0.79	-0.46	-14.8
103.40	0.84	0.78	0.52	0.03	0.87	0.8	-0.32	-11.3
104.23	0.81	0.69	0.62	1.02	0.77	0.7	-0.19	-3.7
105.1	0.72	0.65	0.62	1.8	0.66	0.65	0.3	6.8
107.3	0.87	0.8	0.76	0.67	0.82	0.8	-0.05	-1.3
109.29	0.89	0.83	0.65	0.23	0.88	0.83	-0.17	-5.3
109.42	0.79	0.78	0.58	-0.37	0.97	0.84	-0.45	-17.7
109.9	0.86	0.8	0.6	0.09	0.86	0.81	-0.19	-9.5
112.8	0.75	0.64	0.48	0.84	0.7	0.65	-0.37	-9.1
12.171	0.85	0.76	0.64	0.22	0.82	0.77	-0.08	-4.8
12.178	0.88	0.86	0.81	0.42	0.84	0.86	0.08	3.8
12.192	0.74	0.71	0.68	0.46	0.69	0.71	-0.21	-9.9
12.193	0.79	0.72	0.68	0.41	0.73	0.72	0.02	1.1
12.209	0.89	0.83	0.75	0.2	0.86	0.83	-0.09	-4.3
12.215	0.86	0.85	0.73	-0.02	0.89	0.86	-0.34	-11.8
12.290	0.75	0.52	0.46	0.39	0.74	0.57	-0.1	-5.4
12.70	0.86	0.83	0.7	0.28	0.82	0.83	-0.01	-0.7
12.97	0.48	-0.11	-0.28	0.35	0.58	0.32	-0.62	-27.1
121.20	0.76	0.65	0.54	0.64	0.7	0.66	-0.05	-2.3
122.11	0.83	0.78	0.56	0.46	0.78	0.78	-0.07	-3.1
122.9	0.84	0.79	0.6	0.32	0.8	0.79	-0.14	-5.9
123.31	0.74	0.66	0.54	1.24	0.67	0.66	-0.11	-2.7
124.2	0.78	0.67	0.55	0.81	0.73	0.68	-0.16	-4.6
127.11	0.78	0.75	0.59	0.92	0.72	0.75	-0.04	-1.2
127.13	0.78	0.69	0.62	0.71	0.73	0.69	-0.14	-4.5
133.7	0.81	0.78	0.76	1.52	0.77	0.78	0.31	6
138.1	0.77	0.78	0.76	1.5	0.72	0.79	0.34	8.2
139.15	0.71	0.57	0.46	0.34	0.68	0.6	-0.3	-14.8
139.35	0.87	0.74	0.56	0.5	0.86	0.75	0.06	2
148.2	0.89	0.89	0.88	0.91	0.86	0.89	0.21	4.3
15.21	0.81	0.73	0.69	0.32	0.78	0.73	-0.18	-7.9
15.49	0.83	0.8	0.66	0.37	0.78	0.8	0.05	3.3
15.53	0.73	0.64	0.51	0.57	0.66	0.64	0.03	1.9
15.79	0.84	0.79	0.5	0.4	0.79	0.79	-0.06	-2.6
151.15	0.8	0.77	0.54	-0.03	0.85	0.79	-0.58	-15.7
152.4	0.84	0.79	0.72	1.04	0.79	0.79	-0.1	-1.9
156.10	0.76	0.68	0.33	2.12	0.7	0.68	-0.53	-6.1
157.3	0.79	0.67	0.63	2.32	0.73	0.68	-0.33	-3.3
16.122	0.84	0.76	0.69	0.32	0.81	0.77	-0.14	-5.8
16.132	0.81	0.76	0.64	-0.02	0.86	0.78	-0.47	-15.1
16.66	0.78	0.72	0.61	0.24	0.75	0.73	-0.16	-10.1
16.75	0.85	0.81	0.69	0.26	0.82	0.81	-0.14	-6.3
161.7	0.78	0.7	0.38	0.99	0.72	0.7	-0.03	-0.9
162.3	0.75	0.61	0.32	0.95	0.69	0.62	0.04	1.5
163.5	0.75	0.68	0.36	0.79	0.69	0.68	-0.19	-6.1
165.6	0.68	0.6	0.58	1.66	0.6	0.6	-0.21	-4.6
168.2	0.76	0.71	0.62	1.27	0.7	0.71	-0.25	-4.9
173.8	0.87	0.79	0.38	0.4	0.83	0.8	-0.14	-4.2
174.3	0.66	0.52	0.28	0.97	0.6	0.54	-0.46	-12.7
177.4	0.74	0.64	0.58	1.25	0.71	0.66	-1.09	-13.3
18.10	0.88	0.83	0.82	0.47	0.84	0.83	0.06	2.6
19.107	0.8	0.79	0.76	0.94	0.74	0.8	0.15	5
191.2	0.83	0.77	0.53	0.44	0.81	0.77	-0.28	-7.5
196.35	0.82	0.7	0.33	0.15	0.83	0.73	-0.23	-10.3
2.11	0.83	0.77	0.55	0.1	0.84	0.78	-0.2	-10.7
2.142	0.72	0.59	0.46	0.34	0.67	0.6	-0.12	-8.9
2.145	0.82	0.8	0.61	-0.25	0.98	0.85	-0.29	-14.5
2.268	0.92	0.86	0.65	0.26	0.9	0.86	-0.04	-1.3
2.279	0.82	0.72	0.66	0.35	0.77	0.73	-0.06	-3.5
2.28	0.87	0.8	0.68	0.22	0.84	0.8	-0.07	-4
2.291	0.88	0.79	0.43	0.65	0.85	0.79	0.03	0.8
2.32	0.79	0.78	0.57	-0.32	0.99	0.84	-0.34	-17.3
2.323	0.65	0.58	0.49	0.55	0.6	0.59	-0.31	-14.3
2.463	0.83	0.81	0.73	0.31	0.78	0.82	-0.09	-4.8
2.604	0.78	0.67	0.41	-0.15	0.94	0.75	-0.25	-15.8
2.614	0.9	0.85	0.67	0.08	0.89	0.85	-0.09	-5.7
2.633	0.81	0.73	0.7	0.49	0.75	0.74	0.04	2.3
20.2	0.84	0.8	0.75	0.66	0.79	0.8	-0.05	-1.5
200.4	0.8	0.7	0.59	0.91	0.75	0.71	-0.32	-6.4
203.2	0.79	0.7	0.35	0.79	0.74	0.7	-0.3	-7
206.3	0.67	0.57	0.09	0.47	0.65	0.59	-0.42	-16.8
208.3	0.76	0.67	0.45	0.35	0.69	0.67	-0.06	-4.4
21.47	0.72	0.64	0.44	0.77	0.67	0.64	-0.36	-10.3
212.10	0.81	0.72	0.49	0.24	0.76	0.72	-0.03	-2.6
212.49	0.79	0.72	0.4	0.34	0.75	0.72	-0.19	-8.9
22.16	0.88	0.83	0.81	0.52	0.84	0.83	-0.1	-2.6
22.22	0.86	0.82	0.8	0.76	0.81	0.82	0.05	1.2
22.4	0.85	0.74	0.7	0.13	0.9	0.77	-0.33	-7.5
223.2	0.71	0.69	0.45	0.23	0.69	0.7	-0.28	-16.7
230.1	0.84	0.74	0.6	0.37	0.81	0.75	-0.16	-5.7
234.13	0.64	0.54	0.22	0.06	0.69	0.61	-0.35	-26.4
234.18	0.81	0.7	0.45	0.15	0.78	0.71	-0.08	-8
24.8	0.88	0.87	0.85	1.04	0.86	0.88	0.33	6.1
24.9	0.9	0.86	0.84	0.75	0.86	0.86	-0.02	-0.4
247.3	0.74	0.65	0.35	0.18	0.73	0.66	-0.22	-15.2
25.24	0.86	0.8	0.6	0.1	0.89	0.82	-0.58	-9.3
26.20	0.87	0.85	0.83	0.72	0.84	0.85	-0.39	-5.7
26.26	0.73	0.64	0.54	0.82	0.71	0.66	-0.86	-15
26.29	0.9	0.88	0.87	0.83	0.86	0.89	-0.05	-0.8
27.16	0.8	0.73	0.7	1.17	0.77	0.73	-0.71	-8.8
27.24	0.89	0.83	0.81	0.82	0.85	0.83	-0.23	-3.2
28.7	0.86	0.83	0.78	0.8	0.82	0.83	-0.09	-1.8
3.22	0.7	0.61	0.57	0.52	0.62	0.61	-0.04	-2.8
311.460	0.8	0.68	0.41	0.09	0.83	0.72	-0.23	-12.2
311.6	0.85	0.75	0.45	-0.01	0.91	0.79	-0.13	-9.4
313.10	0.71	0.57	0.49	0.41	0.64	0.58	-0.05	-3.6
