Model: Vann
Version: 201611061747
Period: 2003-08-31 to 2014-12-31
Time of file generation: 2016-11-25 09:35:17
Description: Gr4j, monthly epot, Gr4j, TinBasic, NSE as obj function
Model input: SeNorge 2.0
Path to model results: C:\Users\jmg\Dropbox\Work\VannData\201611061747_Results



Station	KGE2009	KGE2012	r	Beta	Alpha	Gamma	NSE	NSE_bench	Intercept	Slope	r2	Bias	Pbias
103.1	0.82	0.79	0.86	1.06	1.06	0.86	0.74	0.42	0.85	0.78	0.74	0.17	5.6
103.40	0.88	0.88	0.9	1.01	1.01	0.93	0.81	0.57	0.47	0.84	0.81	0.02	0.5
104.23	0.77	0.77	0.84	1.01	1.01	0.84	0.7	0.64	1.55	0.71	0.7	0.03	0.6
105.1	0.77	0.76	0.83	1.01	1.01	0.83	0.69	0.66	1.35	0.7	0.69	0.03	0.8
107.3	0.88	0.88	0.89	1	1	0.96	0.78	0.74	0.61	0.85	0.79	0	0
109.29	0.88	0.88	0.91	1	1	0.92	0.82	0.64	0.55	0.83	0.82	0	0
109.42	0.89	0.89	0.91	1	1	0.94	0.82	0.66	0.37	0.85	0.83	-0.01	-0.4
109.9	0.85	0.84	0.86	1.02	1.02	0.91	0.74	0.48	0.42	0.8	0.75	0.03	1.7
112.8	0.75	0.76	0.82	0.97	0.97	0.85	0.67	0.52	1.22	0.68	0.67	-0.11	-2.7
12.171	0.86	0.82	0.9	1.07	1.07	0.86	0.82	0.72	0.38	0.84	0.82	0.11	6.9
12.178	0.91	0.91	0.93	0.95	0.95	1.02	0.86	0.82	0.1	0.9	0.87	-0.12	-5.4
12.192	0.74	0.72	0.86	1.02	1.02	0.76	0.74	0.71	0.76	0.67	0.75	0.04	1.9
12.193	0.81	0.83	0.85	0.97	0.97	0.92	0.72	0.69	0.31	0.76	0.72	-0.04	-3
12.209	0.91	0.92	0.93	0.96	0.96	1.01	0.85	0.78	0.14	0.9	0.86	-0.07	-3.6
12.215	0.89	0.89	0.92	1	1	0.93	0.86	0.74	0.41	0.85	0.86	-0.01	-0.3
12.290	0.8	0.8	0.82	1.01	1.01	0.9	0.67	0.62	0.48	0.75	0.68	0.01	0.7
12.70	0.88	0.86	0.93	1.03	1.03	0.89	0.86	0.76	0.29	0.85	0.86	0.04	2.8
