Model: Vann
Version: 201611062143
Period: 2003-08-31 to 2014-12-31
Time of file generation: 2016-11-25 09:48:21
Description: Gr4j, monthly epot, TinBasic, KGE as obj func
Model input: SeNorge
Path to model results: C:\Users\jmg\Dropbox\Work\VannData\201611062143_Results



Station	KGE2009	KGE2012	r	Beta	Alpha	Gamma	NSE	NSE_bench	Intercept	Slope	r2	Bias	Pbias
103.1	0.88	0.88	0.88	1.02	1.02	1	0.76	0.47	0.35	0.91	0.78	0.08	2.5
103.40	0.87	0.88	0.88	1.03	1.03	1.01	0.75	0.45	0.31	0.92	0.78	0.08	2.8
104.23	0.83	0.83	0.83	1.01	1.01	1	0.67	0.59	0.88	0.84	0.7	0.04	0.9
105.1	0.81	0.81	0.81	1	1	0.99	0.63	0.59	0.86	0.8	0.66	-0.01	-0.3
107.3	0.89	0.87	0.9	1.04	1.04	0.94	0.79	0.75	0.65	0.88	0.8	0.15	3.8
109.29	0.9	0.9	0.9	1.01	1.01	0.98	0.81	0.61	0.37	0.9	0.82	0.05	1.4
109.42	0.86	0.86	0.87	1.05	1.05	0.97	0.73	0.47	0.42	0.88	0.76	0.13	5
109.9	0.89	0.89	0.9	1.03	1.03	0.99	0.79	0.59	0.22	0.92	0.81	0.06	3.3
112.8	0.8	0.8	0.8	1	1	0.98	0.61	0.43	0.88	0.79	0.64	0.02	0.5
12.171	0.89	0.89	0.9	1.04	1.04	0.99	0.79	0.69	0.18	0.93	0.81	0.06	4
12.178	0.93	0.93	0.93	1.01	1.01	1	0.86	0.82	0.15	0.94	0.87	0.01	0.6
12.192	0.83	0.84	0.86	0.97	0.97	0.94	0.73	0.71	0.4	0.79	0.74	-0.06	-2.7
12.193	0.85	0.85	0.85	1	1	0.99	0.71	0.67	0.23	0.84	0.73	0	0.2
12.209	0.92	0.92	0.93	1.02	1.02	1	0.85	0.78	0.15	0.94	0.86	0.03	1.6
12.215	0.9	0.9	0.9	0.99	0.99	1	0.79	0.63	0.29	0.89	0.8	-0.02	-0.8
