Model: Vann
Version: 213b82e
Period: 2003-08-31 to 2014-12-31
Time of file generation: 2016-11-01 12:16:53
Description: Test calibration of TinBasic and Gr4J
Model input: SeNorge 2.0
Path to model results: C:\Users\jmg\Dropbox\Work\VannData\201611011010_Results



Station	KGE	NSE	NSE_bench	Intercept	Slope	r2	Bias	Pbias
103.1	0.87	0.75	0.46	0.45	0.89	0.77	0.1	3.2
103.40	0.9	0.81	0.58	0.28	0.92	0.82	0.06	2.1
104.23	0.84	0.67	0.6	0.87	0.84	0.7	0.03	0.7
105.1	0.78	0.57	0.53	1.13	0.75	0.61	0.03	0.7
107.3	0.89	0.82	0.78	0.64	0.86	0.82	0.08	1.9
109.29	0.91	0.81	0.62	0.34	0.91	0.82	0.04	1.3
109.42	0.91	0.82	0.65	0.25	0.91	0.83	0.02	0.9
109.9	0.9	0.81	0.62	0.21	0.92	0.82	0.06	3.3
112.8	0.82	0.64	0.48	0.76	0.8	0.67	-0.04	-1.1
12.150	0.84	0.72	0.59	0.3	0.81	0.73	0	0
12.171	0.88	0.77	0.66	0.23	0.91	0.79	0.07	4.6
12.178	0.92	0.85	0.8	0.19	0.92	0.85	0.02	1
12.192	0.81	0.69	0.66	0.53	0.75	0.7	-0.01	-0.4
12.193	0.82	0.65	0.61	0.28	0.81	0.67	0.01	0.8
12.209	0.91	0.83	0.75	0.19	0.93	0.84	0.04	1.9
12.215	0.93	0.86	0.75	0.21	0.92	0.86	-0.02	-0.8
12.286	0.68	0.4	0.16	0.41	0.64	0.47	0	0
12.290	0.72	0.43	0.36	0.54	0.73	0.52	0.05	2.8
12.70	0.91	0.84	0.72	0.18	0.9	0.84	0.02	1.1
12.97	0.62	0.19	0.06	0.82	0.7	0.4	0.13	5.6
121.20	0.82	0.64	0.52	0.47	0.81	0.67	0.04	1.7
122.11	0.87	0.75	0.51	0.32	0.86	0.77	-0.02	-0.6
122.17	0.81	0.62	0.42	0.45	0.79	0.65	0.01	0.3
122.9	0.89	0.79	0.61	0.24	0.88	0.8	-0.03	-1.2
123.31	0.8	0.62	0.48	0.91	0.78	0.64	0.01	0.4
124.2	0.81	0.61	0.47	0.7	0.81	0.65	0	0.1
127.11	0.83	0.69	0.5	0.58	0.8	0.7	-0.08	-2.4
127.13	0.82	0.65	0.57	0.56	0.8	0.67	-0.06	-2.1
133.7	0.88	0.78	0.76	0.61	0.87	0.78	-0.07	-1.3
138.1	0.88	0.77	0.75	0.55	0.87	0.78	0.01	0.2
139.15	0.77	0.58	0.47	0.47	0.73	0.61	-0.08	-4
139.35	0.86	0.72	0.53	0.49	0.88	0.75	0.11	3.4
148.2	0.92	0.85	0.84	0.52	0.9	0.86	0.02	0.4
15.15	0.75	0.51	0.43	0.53	0.75	0.57	0.04	2.2
15.21	0.85	0.7	0.66	0.29	0.9	0.74	0.05	2.2
15.49	0.84	0.7	0.5	0.28	0.83	0.71	0.03	1.7
15.53	0.85	0.72	0.61	0.27	0.83	0.73	0	0
15.79	0.89	0.8	0.54	0.23	0.86	0.81	-0.07	-3.2
151.15	0.9	0.8	0.6	0.38	0.89	0.81	-0.04	-1.2
152.4	0.86	0.76	0.67	0.87	0.83	0.77	-0.06	-1.1
156.10	0.82	0.67	0.32	1.95	0.77	0.68	-0.03	-0.4
157.3	0.83	0.67	0.63	1.7	0.83	0.7	0.02	0.2
16.122	0.87	0.75	0.67	0.3	0.9	0.77	0.05	2.2
16.132	0.9	0.8	0.7	0.31	0.91	0.81	0.03	1.1
16.140	0.91	0.84	0.64	0.31	0.89	0.84	-0.05	-1.4
16.193	0.82	0.64	0.6	0.48	0.84	0.68	0.06	2.4
16.66	0.86	0.72	0.6	0.26	0.84	0.74	-0.01	-0.4
16.75	0.9	0.81	0.7	0.24	0.88	0.82	-0.03	-1.2
160.7	0.75	0.59	0.51	2.04	0.69	0.6	-0.18	-2.5
161.7	0.82	0.7	0.39	0.77	0.78	0.71	-0.03	-0.7
162.3	0.79	0.6	0.3	0.77	0.76	0.63	0.07	2.6
163.5	0.81	0.65	0.3	0.72	0.77	0.67	-0.01	-0.5
165.6	0.75	0.57	0.55	1.2	0.71	0.59	-0.17	-3.7
168.2	0.83	0.7	0.61	0.87	0.8	0.71	-0.15	-2.9
173.8	0.89	0.79	0.37	0.47	0.88	0.8	0.09	2.9
174.11	0.65	0.4	-0.04	1.47	0.6	0.45	-0.12	-3.1
174.3	0.74	0.49	0.23	1.1	0.72	0.55	0.11	3
177.4	0.8	0.6	0.54	1.54	0.79	0.64	-0.15	-1.8
18.10	0.91	0.81	0.8	0.23	0.92	0.82	0.02	0.9
19.107	0.83	0.68	0.64	0.59	0.8	0.69	-0.04	-1.3
191.2	0.87	0.75	0.5	0.54	0.84	0.76	-0.03	-0.7
196.35	0.86	0.72	0.37	0.32	0.88	0.75	0.06	2.6
2.11	0.9	0.79	0.59	0.22	0.9	0.8	0.02	1.2
