Model: Vann
Version: 4dbedcb
Period: 2003-08-31 to 2014-12-31
Time of file generation: 2016-10-26 11:20:40
Description: Gr4j and Tinbasic
Model input: SeNorge 2.0
Path to model results: //hdata/fou/jmg/FloodForecasting/Archive/4dbedcb



Station	KGE	NSE	NSE_bench	Intercept	Slope	r2	Bias	Pbias
103.1	0.88	0.77	0.5	0.3	0.92	0.79	0.06	1.9
103.40	0.9	0.8	0.56	0.31	0.91	0.82	0.06	2.2
104.23	0.84	0.67	0.6	0.87	0.84	0.7	0.03	0.6
105.1	0.72	0.56	0.52	1.45	0.65	0.57	-0.07	-1.6
107.3	0.89	0.81	0.78	0.65	0.86	0.82	0.1	2.5
109.29	0.91	0.82	0.63	0.35	0.91	0.83	0.04	1.2
109.42	0.91	0.82	0.65	0.25	0.91	0.83	0.02	0.8
109.9	0.91	0.82	0.64	0.21	0.92	0.83	0.06	2.8
112.8	0.81	0.64	0.48	0.83	0.78	0.66	-0.05	-1.3
12.150	0.81	0.68	0.53	0.38	0.76	0.69	0.01	0.4
12.171	0.85	0.72	0.58	0.34	0.84	0.74	0.08	4.9
12.178	0.86	0.76	0.69	0.42	0.82	0.77	0.03	1.2
12.192	0.78	0.64	0.6	0.57	0.72	0.65	-0.03	-1.6
12.193	0.69	0.41	0.34	0.48	0.68	0.48	0.01	0.5
12.209	0.9	0.84	0.76	0.28	0.87	0.84	0.01	0.4
12.215	0.93	0.86	0.75	0.2	0.92	0.86	-0.03	-0.9
12.286	0.67	0.42	0.19	0.44	0.62	0.47	0	0.1
12.290	0.72	0.43	0.36	0.54	0.73	0.52	0.05	2.8
12.70	0.85	0.76	0.6	0.33	0.81	0.77	0.02	1.5
12.97	0.62	0.19	0.06	0.83	0.69	0.4	0.13	5.5
121.20	0.78	0.59	0.46	0.62	0.74	0.62	0.03	1.3
122.11	0.83	0.7	0.41	0.49	0.78	0.71	-0.03	-1.1
122.17	0.76	0.56	0.34	0.61	0.72	0.59	0.02	0.7
122.9	0.82	0.68	0.39	0.47	0.78	0.69	-0.03	-1.4
123.31	0.76	0.58	0.43	1.32	0.71	0.6	0.14	3.5
124.2	0.81	0.63	0.5	0.71	0.79	0.66	-0.03	-0.8
