Model: Vann
Version: 6466f24
Period: 2003-08-31 to 2014-12-31
Time of file generation: 2016-11-02 18:29:10
Description: TinBasic and Hbv, calibrated using KGE, no potential evapotranspiration
Model input: SeNorge 2.0
Path to model results: C:\Users\jmg\Dropbox\Work\VannData\201611021230_Results



Station	KGE	NSE	NSE_bench	Intercept	Slope	r2	Bias	Pbias
103.1	0.87	0.73	0.41	0.36	0.9	0.76	0.06	1.9
103.40	0.9	0.81	0.58	0.28	0.92	0.82	0.06	2.3
104.23	0.82	0.63	0.55	0.91	0.83	0.67	0.06	1.2
105.1	0.73	0.51	0.46	1.54	0.69	0.55	0.18	4.1
107.3	0.88	0.8	0.76	0.69	0.85	0.8	0.09	2.2
109.29	0.89	0.79	0.57	0.33	0.91	0.8	0.04	1.1
109.42	0.84	0.67	0.35	0.34	0.88	0.71	0.03	1.4
109.9	0.88	0.77	0.54	0.24	0.91	0.79	0.06	3.2
112.8	0.81	0.63	0.46	0.81	0.81	0.66	0.02	0.4
12.171	0.82	0.66	0.49	0.38	0.82	0.69	0.08	5.2
12.178	0.83	0.7	0.61	0.46	0.8	0.71	0.03	1.5
12.192	0.76	0.59	0.54	0.6	0.71	0.6	-0.03	-1.3
12.193	0.73	0.47	0.41	0.46	0.7	0.53	0.03	2
12.209	0.89	0.79	0.69	0.27	0.89	0.8	0.05	2.7
12.215	0.91	0.82	0.67	0.25	0.9	0.82	-0.03	-1.1
12.290	0.61	0.2	0.1	0.72	0.63	0.38	0.04	2
12.70	0.84	0.73	0.53	0.34	0.8	0.73	0.02	1.5
12.97	0.78	0.58	0.52	0.65	0.77	0.62	0.12	5.4
121.20	0.76	0.56	0.41	0.66	0.73	0.59	0.05	2.1
122.11	0.84	0.7	0.41	0.48	0.8	0.71	0	0
122.9	0.86	0.75	0.53	0.38	0.83	0.76	-0.01	-0.4
123.31	0.79	0.61	0.47	1.02	0.75	0.63	0.01	0.3
124.2	0.8	0.61	0.48	0.78	0.78	0.64	0	0
127.11	0.79	0.65	0.43	0.88	0.73	0.66	-0.03	-0.9
127.13	0.8	0.63	0.56	0.68	0.77	0.65	-0.04	-1.4
133.7	0.81	0.66	0.63	1.2	0.76	0.67	-0.02	-0.3
138.1	0.77	0.61	0.58	1.19	0.72	0.63	0.05	1.1
139.15	0.77	0.56	0.44	0.43	0.75	0.6	-0.08	-4
139.35	0.85	0.71	0.51	0.5	0.88	0.74	0.11	3.4
148.2	0.87	0.77	0.75	0.81	0.84	0.78	0.02	0.4
15.21	0.81	0.61	0.55	0.47	0.82	0.65	0.07	2.9
15.49	0.77	0.6	0.33	0.46	0.72	0.61	0.05	3.4
15.53	0.79	0.62	0.48	0.42	0.74	0.64	0.01	0.5
15.79	0.89	0.79	0.5	0.29	0.87	0.8	0.01	0.3
151.15	0.89	0.78	0.56	0.38	0.89	0.79	-0.04	-1.1
152.4	0.86	0.75	0.65	0.89	0.82	0.75	-0.06	-1.1
156.10	0.81	0.66	0.3	1.97	0.77	0.68	-0.03	-0.4
157.3	0.83	0.66	0.61	1.87	0.83	0.68	0.13	1.3
16.122	0.82	0.65	0.54	0.51	0.81	0.68	0.05	2.1
16.132	0.87	0.73	0.59	0.4	0.89	0.75	0.04	1.4
16.66	0.83	0.7	0.57	0.34	0.79	0.71	0	0.1
16.75	0.85	0.73	0.57	0.4	0.81	0.74	-0.01	-0.6
161.7	0.8	0.63	0.25	0.98	0.77	0.65	0.15	4.1
162.3	0.73	0.51	0.13	1.01	0.69	0.55	0.12	4.3
163.5	0.79	0.62	0.24	0.82	0.75	0.64	0.02	0.5
165.6	0.74	0.54	0.52	1.54	0.68	0.57	0.07	1.4
168.2	0.82	0.67	0.57	1.06	0.78	0.68	-0.03	-0.6
173.8	0.85	0.74	0.21	0.69	0.84	0.75	0.17	5.3
174.3	0.73	0.49	0.24	1.16	0.71	0.54	0.12	3.5
177.4	0.8	0.62	0.56	1.43	0.78	0.65	-0.37	-4.5
18.10	0.83	0.67	0.65	0.48	0.83	0.7	0.04	1.8
19.107	0.78	0.6	0.55	0.81	0.74	0.62	0	-0.2
191.2	0.85	0.72	0.43	0.68	0.82	0.73	0.02	0.5
196.35	0.83	0.67	0.25	0.35	0.87	0.7	0.05	2.1
2.11	0.87	0.75	0.5	0.26	0.87	0.76	0.02	1
2.142	0.74	0.5	0.35	0.41	0.71	0.55	0	-0.1
2.145	0.87	0.74	0.47	0.26	0.88	0.76	0.03	1.3
2.268	0.91	0.82	0.57	0.25	0.94	0.84	0.07	2.3
2.279	0.8	0.58	0.49	0.33	0.82	0.64	0	-0.2
2.28	0.86	0.74	0.59	0.3	0.88	0.76	0.08	4.6
