Model: Vann
Version: 9850ede
Period: 2003-08-31 to 2014-12-31
Time of file generation: 2016-11-02 18:25:08
Description: TinBasic and Gr4j calibrated using KGE
Model input: SeNorge 2.0
Path to model results: C:\Users\jmg\Dropbox\Work\VannData\201611020941_Results



Station	KGE	NSE	NSE_bench	Intercept	Slope	r2	Bias	Pbias
103.1	0.85	0.71	0.35	0.43	0.89	0.74	0.09	2.8
103.40	0.89	0.78	0.51	0.33	0.9	0.79	0.06	2.3
104.23	0.83	0.66	0.58	0.89	0.85	0.69	0.09	1.8
105.1	0.81	0.63	0.6	0.85	0.8	0.66	-0.01	-0.3
107.3	0.87	0.77	0.73	0.75	0.86	0.78	0.2	4.9
109.29	0.91	0.82	0.63	0.35	0.91	0.82	0.04	1.2
109.42	0.91	0.82	0.65	0.22	0.92	0.83	0.01	0.5
109.9	0.88	0.78	0.55	0.24	0.91	0.8	0.07	3.7
112.8	0.8	0.62	0.45	0.86	0.78	0.65	-0.03	-0.6
12.171	0.89	0.79	0.69	0.18	0.93	0.81	0.06	4
12.178	0.93	0.86	0.82	0.15	0.93	0.87	0.01	0.6
12.192	0.82	0.74	0.71	0.43	0.77	0.74	-0.07	-3.3
12.193	0.85	0.7	0.66	0.23	0.85	0.72	0	0.3
12.209	0.92	0.85	0.77	0.15	0.94	0.86	0.03	1.7
12.215	0.89	0.77	0.59	0.34	0.88	0.78	-0.01	-0.2
12.290	0.82	0.65	0.61	0.36	0.82	0.68	0.03	1.5
12.70	0.93	0.86	0.76	0.13	0.92	0.86	0	0.2
12.97	0.78	0.56	0.5	0.57	0.76	0.6	0.02	1.1
121.20	0.83	0.66	0.54	0.42	0.84	0.69	0.06	2.5
122.11	0.87	0.75	0.51	0.32	0.87	0.76	-0.01	-0.2
122.9	0.89	0.79	0.59	0.24	0.89	0.8	-0.01	-0.5
123.31	0.8	0.62	0.49	0.91	0.78	0.65	0.03	0.8
124.2	0.82	0.64	0.51	0.62	0.82	0.67	-0.01	-0.3
127.11	0.85	0.73	0.56	0.52	0.82	0.74	-0.09	-2.7
127.13	0.82	0.66	0.59	0.55	0.81	0.68	-0.04	-1.4
133.7	0.89	0.78	0.77	0.53	0.89	0.79	-0.06	-1.1
138.1	0.89	0.79	0.77	0.47	0.89	0.8	0.02	0.4
139.15	0.73	0.5	0.37	0.55	0.7	0.55	-0.05	-2.3
139.35	0.85	0.71	0.52	0.5	0.89	0.74	0.14	4.4
148.2	0.93	0.88	0.86	0.45	0.92	0.88	0.03	0.6
15.21	0.86	0.72	0.67	0.26	0.91	0.75	0.05	2
15.49	0.9	0.8	0.66	0.17	0.89	0.81	0.02	1.1
15.53	0.86	0.73	0.62	0.25	0.84	0.74	-0.01	-0.5
15.79	0.87	0.78	0.48	0.24	0.85	0.78	-0.08	-3.7
151.15	0.85	0.7	0.4	0.54	0.86	0.73	0.03	0.9
152.4	0.87	0.77	0.69	0.82	0.84	0.78	-0.04	-0.7
156.10	0.82	0.67	0.32	1.84	0.78	0.69	-0.04	-0.5
157.3	0.83	0.66	0.62	1.73	0.84	0.69	0.14	1.4
16.122	0.87	0.74	0.66	0.29	0.9	0.77	0.04	1.8
16.132	0.89	0.79	0.68	0.33	0.9	0.8	0.03	1
16.66	0.84	0.7	0.58	0.27	0.82	0.72	-0.02	-1
16.75	0.91	0.84	0.73	0.19	0.9	0.84	-0.04	-1.6
161.7	0.83	0.7	0.39	0.72	0.79	0.71	-0.03	-0.8
162.3	0.8	0.62	0.33	0.71	0.77	0.65	0.06	2.1
163.5	0.81	0.64	0.28	0.63	0.79	0.66	-0.03	-1
165.6	0.75	0.56	0.54	1.22	0.71	0.59	-0.13	-2.8
168.2	0.84	0.7	0.61	0.83	0.81	0.71	-0.14	-2.8
173.8	0.89	0.79	0.37	0.4	0.9	0.8	0.07	2.2
174.3	0.72	0.44	0.16	1.13	0.72	0.52	0.14	3.9
177.4	0.79	0.6	0.53	1.55	0.78	0.63	-0.25	-3
18.10	0.92	0.84	0.82	0.19	0.93	0.85	0.01	0.6
19.107	0.89	0.79	0.77	0.35	0.86	0.8	-0.07	-2.2
191.2	0.87	0.74	0.48	0.48	0.86	0.76	-0.03	-0.8
196.35	0.86	0.72	0.36	0.32	0.88	0.74	0.05	2
2.11	0.89	0.78	0.57	0.2	0.91	0.8	0.03	1.4
2.142	0.77	0.55	0.41	0.32	0.76	0.6	-0.02	-1.1
2.145	0.95	0.9	0.79	0.12	0.95	0.9	0.01	0.7
2.268	0.88	0.78	0.47	0.37	0.93	0.8	0.16	5.5
2.279	0.86	0.73	0.67	0.27	0.84	0.74	-0.03	-1.7
2.28	0.89	0.8	0.68	0.17	0.94	0.82	0.06	3.4
2.291	0.85	0.75	0.33	0.68	0.92	0.78	0.36	8.9
2.32	0.92	0.85	0.71	0.12	0.96	0.86	0.04	2.2
2.323	0.75	0.52	0.42	0.55	0.73	0.57	-0.03	-1.4
2.463	0.88	0.82	0.74	0.23	0.85	0.82	-0.05	-2.5
2.604	0.85	0.7	0.47	0.2	0.88	0.73	0	0.3
2.614	0.91	0.84	0.65	0.13	0.94	0.85	0.04	2.6
2.633	0.87	0.75	0.72	0.26	0.88	0.77	0.05	2.7
20.2	0.89	0.79	0.74	0.33	0.88	0.8	-0.07	-2
200.4	0.84	0.7	0.58	0.78	0.82	0.72	-0.1	-2
203.2	0.82	0.67	0.3	0.92	0.77	0.68	-0.04	-1
206.3	0.77	0.55	0.06	0.59	0.75	0.59	-0.03	-1.2
208.3	0.83	0.66	0.43	0.25	0.81	0.68	0	0.3
21.47	0.78	0.56	0.33	0.68	0.79	0.61	-0.03	-0.9
212.10	0.88	0.76	0.57	0.16	0.87	0.77	0.02	1.8
212.49	0.85	0.7	0.36	0.31	0.85	0.72	-0.01	-0.4
22.16	0.93	0.85	0.84	0.29	0.92	0.86	0	0.1
22.22	0.94	0.88	0.86	0.27	0.93	0.88	0	0.1
22.4	0.92	0.83	0.81	0.32	0.93	0.84	0.03	0.7
223.2	0.82	0.68	0.42	0.3	0.78	0.69	-0.06	-3.7
230.1	0.87	0.74	0.59	0.42	0.87	0.75	0.05	1.7
234.13	0.8	0.64	0.4	0.25	0.77	0.66	-0.06	-4.6
234.18	0.87	0.77	0.56	0.15	0.84	0.77	-0.02	-1.9
24.8	0.95	0.9	0.89	0.24	0.96	0.91	0.04	0.8
24.9	0.93	0.87	0.85	0.35	0.94	0.87	0.03	0.5
247.3	0.83	0.66	0.37	0.21	0.87	0.7	0.02	1.3
25.24	0.87	0.74	0.49	0.47	0.91	0.77	-0.11	-1.7
26.20	0.92	0.84	0.82	0.61	0.91	0.84	-0.01	-0.2
26.26	0.8	0.6	0.49	1.18	0.81	0.64	0.06	1.1
26.29	0.94	0.89	0.87	0.35	0.93	0.89	-0.08	-1.3
27.16	0.86	0.72	0.7	1.11	0.85	0.74	-0.13	-1.6
27.24	0.92	0.83	0.81	0.64	0.91	0.84	-0.02	-0.2
28.7	0.91	0.83	0.79	0.33	0.91	0.84	-0.12	-2.5
3.22	0.83	0.68	0.64	0.28	0.79	0.69	-0.02	-1.3
311.460	0.83	0.66	0.36	0.28	0.86	0.7	0.01	0.7
311.6	0.91	0.81	0.58	0.13	0.91	0.82	0	0
313.10	0.8	0.6	0.51	0.24	0.81	0.64	-0.01	-0.6
41.1	0.91	0.82	0.8	0.96	0.91	0.83	0.16	1.7
42.2	0.82	0.64	0.63	1.69	0.82	0.67	0.07	0.8
46.9	0.84	0.73	0.47	2.89	0.79	0.73	-0.23	-1.5
48.1	0.92	0.84	0.77	0.73	0.92	0.85	0.12	1.6
48.5	0.91	0.82	0.66	0.71	0.91	0.83	0.08	1.1
50.1	0.91	0.83	0.65	0.47	0.89	0.84	-0.05	-1
50.13	0.79	0.63	0.3	0.61	0.77	0.65	-0.18	-5.4
55.4	0.93	0.86	0.85	0.61	0.92	0.87	-0.1	-1.1
55.5	0.83	0.66	0.64	1.87	0.82	0.69	-0.23	-2
6.10	0.82	0.66	0.61	0.43	0.8	0.68	0.03	1.5
62.10	0.9	0.81	0.69	0.63	0.91	0.82	0.04	0.6
62.18	0.85	0.7	0.67	1.61	0.84	0.72	0.11	1.1
62.5	0.93	0.86	0.81	0.34	0.93	0.87	-0.04	-0.6
72.5	0.89	0.79	0.55	0.61	0.9	0.8	0.02	0.4
75.23	0.87	0.75	0.56	0.57	0.87	0.77	-0.02	-0.4
76.5	0.9	0.86	0.27	1.51	0.87	0.86	0.22	2.2
77.3	0.92	0.85	0.74	0.65	0.92	0.85	0.12	1.8
78.8	0.9	0.82	0.47	1.51	0.89	0.82	0.35	3.3
79.3	0.79	0.58	0.49	1.42	0.79	0.62	0.01	0.2
8.2	0.83	0.66	0.62	0.29	0.84	0.69	0	-0.2
8.6	0.78	0.57	0.54	0.37	0.79	0.62	-0.01	-0.8
82.4	0.95	0.9	0.89	0.47	0.94	0.9	0.01	0.1
83.2	0.93	0.87	0.79	0.6	0.94	0.87	0.12	1.6
84.11	0.88	0.75	0.73	1.07	0.87	0.77	-0.05	-0.5
86.12	0.82	0.64	0.47	2.54	0.83	0.67	0.24	1.8
87.10	0.9	0.8	0.68	0.94	0.9	0.81	0.2	2.9
88.4	0.91	0.85	0.4	0.6	0.96	0.87	0.35	5.4
91.2	0.93	0.86	0.84	0.29	0.95	0.87	-0.04	-0.6
97.1	0.87	0.75	0.72	1.13	0.87	0.76	0.12	1.5
98.4	0.87	0.74	0.64	0.87	0.87	0.76	0.12	2.1
