Model: Vann
Version: a677028
Period: 2003-08-31 to 2014-12-31
Time of file generation: 2016-11-02 18:27:26
Description: TinBasic and Gr4j calibrated using KGE, no potential evapotranspiration
Model input: SeNorge 2.0
Path to model results: C:\Users\jmg\Dropbox\Work\VannData\201611021050_Results



Station	KGE	NSE	NSE_bench	Intercept	Slope	r2	Bias	Pbias
103.1	0.89	0.79	0.54	0.34	0.91	0.8	0.05	1.7
103.40	0.9	0.81	0.57	0.29	0.92	0.82	0.05	2
104.23	0.83	0.66	0.59	0.89	0.84	0.69	0.04	0.7
105.1	0.77	0.54	0.5	1.1	0.75	0.59	0.01	0.2
107.3	0.89	0.82	0.78	0.64	0.86	0.82	0.08	1.9
109.29	0.91	0.83	0.65	0.34	0.91	0.83	0.04	1.1
109.42	0.9	0.81	0.63	0.27	0.9	0.82	0.02	1
109.9	0.9	0.82	0.64	0.2	0.93	0.83	0.06	3.1
112.8	0.81	0.65	0.49	0.81	0.78	0.67	-0.07	-1.6
12.171	0.88	0.78	0.67	0.22	0.91	0.8	0.07	4.6
12.178	0.93	0.85	0.81	0.19	0.92	0.86	0.02	1
12.192	0.8	0.69	0.66	0.5	0.75	0.7	-0.05	-2.2
12.193	0.82	0.65	0.61	0.28	0.82	0.68	0.01	0.8
12.209	0.92	0.84	0.76	0.18	0.93	0.85	0.04	2
12.215	0.92	0.84	0.71	0.19	0.93	0.85	-0.03	-1
12.290	0.72	0.43	0.36	0.54	0.73	0.52	0.05	2.8
12.70	0.9	0.8	0.66	0.21	0.88	0.81	0.02	1.1
12.97	0.62	0.18	0.06	0.83	0.69	0.4	0.13	5.6
121.20	0.82	0.64	0.52	0.47	0.81	0.67	0.04	1.7
122.11	0.87	0.75	0.51	0.32	0.86	0.77	-0.02	-0.6
122.9	0.89	0.79	0.61	0.25	0.88	0.8	-0.02	-1.1
123.31	0.8	0.62	0.48	0.95	0.77	0.64	0.01	0.2
124.2	0.8	0.6	0.46	0.68	0.82	0.65	0.04	1.1
127.11	0.83	0.69	0.5	0.58	0.8	0.7	-0.08	-2.4
127.13	0.82	0.65	0.57	0.56	0.8	0.67	-0.06	-2.1
133.7	0.89	0.78	0.76	0.58	0.87	0.79	-0.08	-1.5
138.1	0.88	0.76	0.74	0.57	0.87	0.77	0.01	0.3
139.15	0.77	0.58	0.47	0.47	0.73	0.61	-0.08	-3.9
139.35	0.86	0.72	0.53	0.49	0.88	0.75	0.11	3.4
148.2	0.92	0.85	0.84	0.52	0.9	0.86	0.02	0.4
15.21	0.85	0.7	0.66	0.29	0.9	0.74	0.05	2.2
15.49	0.84	0.7	0.51	0.28	0.83	0.72	0.02	1.5
15.53	0.85	0.72	0.61	0.27	0.83	0.73	0	0
15.79	0.89	0.8	0.52	0.23	0.87	0.8	-0.07	-3.1
151.15	0.9	0.8	0.6	0.38	0.89	0.81	-0.04	-1.2
152.4	0.86	0.76	0.67	0.88	0.83	0.77	-0.06	-1.1
156.10	0.82	0.68	0.33	1.96	0.77	0.69	-0.04	-0.5
157.3	0.83	0.67	0.63	1.7	0.83	0.7	0.02	0.2
16.122	0.87	0.75	0.67	0.3	0.9	0.77	0.05	2.2
16.132	0.9	0.8	0.69	0.33	0.91	0.81	0.04	1.2
16.66	0.85	0.71	0.59	0.27	0.83	0.72	-0.01	-0.4
16.75	0.9	0.81	0.69	0.23	0.88	0.82	-0.03	-1.3
161.7	0.82	0.7	0.39	0.77	0.78	0.71	-0.03	-0.7
162.3	0.79	0.6	0.3	0.77	0.76	0.63	0.07	2.6
163.5	0.81	0.66	0.32	0.69	0.76	0.67	-0.06	-2
165.6	0.75	0.57	0.55	1.2	0.7	0.59	-0.18	-3.8
168.2	0.83	0.7	0.61	0.87	0.8	0.71	-0.15	-3
173.8	0.89	0.79	0.37	0.47	0.88	0.8	0.09	2.9
174.3	0.73	0.49	0.23	1.11	0.72	0.54	0.1	2.7
177.4	0.8	0.6	0.54	1.55	0.78	0.64	-0.22	-2.7
18.10	0.91	0.81	0.8	0.23	0.92	0.82	0.02	0.9
19.107	0.83	0.67	0.63	0.58	0.8	0.69	-0.04	-1.2
191.2	0.87	0.75	0.49	0.53	0.86	0.76	0.01	0.3
196.35	0.86	0.73	0.4	0.31	0.89	0.75	0.06	2.6
2.11	0.9	0.8	0.6	0.2	0.91	0.81	0.02	1.2
2.142	0.75	0.52	0.36	0.37	0.73	0.56	-0.01	-0.9
2.145	0.93	0.87	0.74	0.18	0.94	0.88	0.06	2.9
2.268	0.92	0.84	0.61	0.24	0.94	0.85	0.07	2.4
2.279	0.83	0.67	0.59	0.3	0.82	0.69	-0.02	-1.3
2.28	0.89	0.79	0.66	0.2	0.92	0.8	0.06	3.5
2.291	0.85	0.76	0.37	0.64	0.92	0.79	0.33	8.3
2.32	0.94	0.88	0.77	0.12	0.95	0.89	0.02	0.9
2.323	0.73	0.46	0.35	0.6	0.71	0.53	-0.01	-0.5
2.463	0.87	0.79	0.69	0.28	0.83	0.79	-0.03	-1.4
2.604	0.89	0.77	0.6	0.17	0.89	0.79	0.01	0.6
2.614	0.93	0.86	0.7	0.11	0.95	0.87	0.03	2.2
2.633	0.83	0.68	0.64	0.38	0.81	0.7	0.05	2.7
20.2	0.88	0.77	0.71	0.4	0.87	0.78	-0.06	-1.7
200.4	0.84	0.7	0.59	0.83	0.81	0.72	-0.09	-1.9
203.2	0.82	0.72	0.39	0.96	0.76	0.72	-0.05	-1.2
206.3	0.78	0.58	0.13	0.62	0.74	0.61	-0.03	-1.1
208.3	0.82	0.67	0.44	0.29	0.79	0.68	0	0.1
21.47	0.8	0.59	0.38	0.6	0.81	0.64	-0.05	-1.4
212.10	0.88	0.76	0.58	0.16	0.87	0.77	0.02	1.7
212.49	0.86	0.73	0.42	0.32	0.84	0.74	-0.02	-0.7
22.16	0.92	0.84	0.82	0.35	0.91	0.84	0	0.1
22.22	0.92	0.84	0.82	0.34	0.91	0.84	0.01	0.2
22.4	0.9	0.81	0.78	0.36	0.93	0.82	0.04	1
223.2	0.83	0.71	0.48	0.29	0.79	0.72	-0.05	-3.3
230.1	0.87	0.74	0.6	0.42	0.87	0.76	0.06	2
234.13	0.76	0.54	0.22	0.28	0.75	0.58	-0.05	-3.5
234.18	0.86	0.72	0.48	0.15	0.84	0.74	-0.02	-1.5
24.8	0.93	0.86	0.83	0.45	0.92	0.86	0.04	0.7
24.9	0.93	0.85	0.83	0.44	0.92	0.86	0.02	0.4
247.3	0.83	0.66	0.38	0.22	0.87	0.7	0.03	1.7
25.24	0.89	0.79	0.59	0.35	0.92	0.81	-0.13	-2.1
26.20	0.92	0.84	0.82	0.58	0.91	0.85	-0.04	-0.6
26.26	0.82	0.64	0.54	1.11	0.8	0.67	-0.01	-0.2
26.29	0.93	0.88	0.86	0.39	0.93	0.88	-0.09	-1.4
27.16	0.86	0.72	0.7	1.14	0.84	0.74	-0.16	-1.9
27.24	0.91	0.82	0.8	0.69	0.9	0.83	0	-0.1
28.7	0.9	0.81	0.75	0.42	0.89	0.81	-0.13	-2.8
3.22	0.76	0.55	0.5	0.4	0.72	0.58	-0.01	-0.4
311.460	0.83	0.66	0.36	0.3	0.85	0.69	0.02	0.9
311.6	0.89	0.77	0.48	0.15	0.9	0.78	0	0.3
313.10	0.71	0.42	0.31	0.37	0.72	0.51	0.01	0.4
41.1	0.91	0.82	0.8	0.97	0.91	0.83	0.15	1.6
42.2	0.82	0.65	0.63	1.69	0.81	0.67	0.04	0.4
46.9	0.83	0.72	0.45	2.93	0.78	0.73	-0.26	-1.8
48.1	0.93	0.86	0.79	0.65	0.91	0.86	0.02	0.3
48.5	0.92	0.84	0.71	0.66	0.91	0.85	0.01	0.1
50.1	0.91	0.84	0.67	0.46	0.89	0.85	-0.05	-1.1
50.13	0.8	0.63	0.31	0.6	0.77	0.65	-0.17	-5.1
55.4	0.93	0.86	0.84	0.62	0.92	0.86	-0.09	-1
55.5	0.83	0.67	0.65	1.89	0.81	0.69	-0.29	-2.5
6.10	0.78	0.57	0.51	0.51	0.76	0.61	0.03	1.6
62.10	0.91	0.81	0.7	0.61	0.91	0.82	0.03	0.5
62.18	0.85	0.7	0.67	1.61	0.84	0.72	0.11	1.1
62.5	0.93	0.86	0.81	0.39	0.92	0.86	-0.04	-0.8
72.5	0.9	0.8	0.58	0.56	0.9	0.81	-0.01	-0.2
75.23	0.86	0.74	0.53	0.67	0.84	0.75	-0.04	-1
76.5	0.88	0.83	0.13	1.79	0.84	0.83	0.23	2.4
77.3	0.92	0.85	0.75	0.65	0.92	0.85	0.12	1.7
78.8	0.89	0.81	0.45	1.6	0.87	0.81	0.29	2.8
79.3	0.79	0.57	0.48	1.44	0.79	0.62	0.02	0.3
8.2	0.81	0.62	0.58	0.33	0.83	0.66	0.01	0.6
8.6	0.75	0.49	0.45	0.45	0.75	0.56	0	-0.1
82.4	0.95	0.89	0.89	0.52	0.94	0.9	0.02	0.3
83.2	0.93	0.87	0.79	0.66	0.92	0.87	0.06	0.7
84.11	0.88	0.76	0.74	1.05	0.87	0.77	-0.11	-1.3
86.12	0.82	0.64	0.48	2.51	0.82	0.67	0.2	1.5
87.10	0.9	0.81	0.7	0.89	0.9	0.82	0.17	2.5
88.4	0.9	0.83	0.3	0.85	0.91	0.83	0.27	4.1
91.2	0.93	0.86	0.84	0.32	0.94	0.87	-0.06	-0.9
97.1	0.87	0.75	0.73	1.11	0.86	0.76	0.06	0.8
98.4	0.87	0.75	0.66	0.84	0.87	0.77	0.1	1.7
