Model: Vann
Version: f0f1cd1
Period: 2003-08-31 to 2014-12-31
Time of file generation: 2016-11-02 18:30:46
Description: TinBasic and Hbv, montly potential evapotranspiration, calibrated using KGE
Model input: SeNorge 2.0
Path to model results: C:\Users\jmg\Dropbox\Work\VannData\201611021331_Results



Station	KGE	NSE	NSE_bench	Intercept	Slope	r2	Bias	Pbias
103.1	0.89	0.78	0.53	0.34	0.92	0.8	0.08	2.7
103.40	0.87	0.75	0.44	0.32	0.91	0.78	0.08	2.8
104.23	0.82	0.64	0.56	0.85	0.85	0.68	0.06	1.2
105.1	0.74	0.53	0.49	1.3	0.7	0.56	-0.03	-0.7
107.3	0.88	0.79	0.75	0.71	0.85	0.8	0.09	2.3
109.29	0.89	0.79	0.57	0.36	0.93	0.81	0.12	3.6
109.42	0.86	0.73	0.47	0.33	0.9	0.76	0.09	3.6
109.9	0.9	0.81	0.62	0.2	0.93	0.82	0.07	3.5
112.8	0.8	0.61	0.43	0.89	0.82	0.65	0.14	3.4
12.171	0.86	0.74	0.61	0.23	0.9	0.76	0.07	4.3
12.178	0.91	0.84	0.79	0.24	0.9	0.84	0.02	0.9
12.192	0.83	0.71	0.68	0.39	0.79	0.72	-0.06	-3
12.193	0.83	0.66	0.62	0.25	0.82	0.69	0	-0.2
12.209	0.9	0.81	0.72	0.22	0.92	0.82	0.05	2.6
12.215	0.93	0.85	0.73	0.2	0.92	0.86	-0.02	-0.8
12.290	0.83	0.67	0.62	0.4	0.83	0.7	0.09	4.9
12.70	0.91	0.82	0.69	0.18	0.89	0.83	0.01	0.6
12.97	0.76	0.54	0.47	0.73	0.75	0.59	0.16	7
121.20	0.81	0.62	0.49	0.51	0.8	0.65	0.04	1.9
122.11	0.88	0.76	0.53	0.33	0.86	0.77	-0.01	-0.4
122.9	0.89	0.78	0.59	0.3	0.87	0.79	-0.01	-0.5
123.31	0.8	0.61	0.47	0.94	0.77	0.64	0.03	0.6
124.2	0.81	0.62	0.48	0.7	0.81	0.65	0.01	0.2
127.11	0.84	0.72	0.55	0.6	0.8	0.73	-0.08	-2.5
127.13	0.83	0.67	0.61	0.54	0.81	0.69	-0.04	-1.1
133.7	0.84	0.74	0.72	0.91	0.8	0.74	-0.11	-2.1
138.1	0.81	0.65	0.62	0.98	0.76	0.67	0	0
139.15	0.77	0.56	0.45	0.48	0.75	0.6	-0.03	-1.3
139.35	0.85	0.71	0.51	0.49	0.89	0.74	0.13	4.2
148.2	0.91	0.83	0.81	0.6	0.89	0.83	0.04	0.8
15.21	0.85	0.69	0.65	0.3	0.89	0.73	0.05	2
15.49	0.86	0.73	0.55	0.25	0.84	0.74	0.02	1.3
15.53	0.84	0.68	0.56	0.29	0.82	0.7	0.01	0.4
15.79	0.88	0.77	0.46	0.31	0.88	0.78	0.05	2.1
151.15	0.87	0.74	0.47	0.43	0.87	0.76	-0.04	-1
152.4	0.88	0.78	0.7	0.74	0.85	0.78	-0.05	-0.9
156.10	0.82	0.67	0.31	1.74	0.78	0.68	-0.17	-1.9
157.3	0.79	0.58	0.53	1.96	0.81	0.63	0.04	0.4
16.122	0.87	0.74	0.66	0.34	0.88	0.76	0.05	1.9
16.132	0.86	0.73	0.59	0.39	0.89	0.75	0.04	1.2
16.66	0.82	0.65	0.51	0.32	0.8	0.67	-0.01	-0.9
16.75	0.91	0.82	0.71	0.23	0.89	0.82	-0.02	-0.8
161.7	0.83	0.68	0.35	0.7	0.79	0.7	-0.04	-1.2
162.3	0.79	0.59	0.28	0.75	0.76	0.62	0.07	2.5
163.5	0.82	0.64	0.29	0.6	0.8	0.67	-0.04	-1.3
165.6	0.75	0.57	0.55	1.26	0.7	0.59	-0.12	-2.5
168.2	0.82	0.67	0.57	0.91	0.79	0.69	-0.16	-3.2
173.8	0.9	0.8	0.4	0.4	0.9	0.81	0.07	2.1
174.3	0.74	0.48	0.22	1.05	0.74	0.55	0.1	2.7
177.4	0.8	0.61	0.55	1.28	0.79	0.65	-0.45	-5.4
18.10	0.91	0.82	0.8	0.22	0.92	0.83	0.04	1.4
19.107	0.85	0.72	0.69	0.49	0.83	0.73	-0.05	-1.5
191.2	0.88	0.76	0.51	0.45	0.87	0.77	-0.03	-0.8
196.35	0.84	0.69	0.31	0.38	0.88	0.73	0.1	4.6
2.11	0.88	0.75	0.52	0.23	0.89	0.77	0.02	1.3
2.142	0.77	0.55	0.41	0.32	0.76	0.6	-0.01	-0.8
2.145	0.89	0.79	0.59	0.22	0.94	0.82	0.1	4.7
2.268	0.9	0.82	0.55	0.25	0.95	0.83	0.11	3.6
2.279	0.84	0.67	0.59	0.23	0.87	0.7	0	-0.2
2.28	0.89	0.78	0.65	0.22	0.91	0.8	0.05	2.9
2.291	0.81	0.72	0.25	0.66	0.94	0.76	0.44	10.9
2.32	0.91	0.85	0.7	0.19	0.96	0.86	0.1	5.2
2.323	0.76	0.54	0.44	0.54	0.73	0.58	-0.03	-1.5
2.463	0.88	0.81	0.72	0.23	0.85	0.81	-0.05	-2.6
2.604	0.85	0.77	0.59	0.23	0.95	0.81	0.15	9.5
2.614	0.92	0.84	0.65	0.14	0.93	0.85	0.03	2.3
2.633	0.85	0.7	0.67	0.33	0.84	0.72	0.05	3
20.2	0.89	0.78	0.72	0.34	0.89	0.79	-0.05	-1.5
200.4	0.84	0.69	0.58	0.74	0.84	0.71	-0.07	-1.5
203.2	0.84	0.7	0.35	0.71	0.81	0.71	-0.08	-1.8
206.3	0.76	0.53	0.02	0.59	0.76	0.58	-0.02	-0.6
208.3	0.8	0.63	0.38	0.33	0.76	0.65	0.01	0.6
21.47	0.8	0.6	0.38	0.6	0.81	0.64	-0.06	-1.7
212.10	0.82	0.69	0.45	0.26	0.86	0.72	0.1	9.3
212.49	0.85	0.7	0.37	0.35	0.84	0.72	0	0.1
22.16	0.92	0.83	0.82	0.36	0.91	0.84	0.04	1
22.22	0.9	0.8	0.77	0.41	0.89	0.81	0.01	0.3
22.4	0.86	0.72	0.69	0.46	0.9	0.75	0.03	0.7
223.2	0.82	0.69	0.44	0.3	0.78	0.7	-0.06	-3.4
230.1	0.84	0.67	0.5	0.46	0.86	0.71	0.07	2.4
234.13	0.72	0.42	0.02	0.35	0.77	0.53	0.05	3.8
234.18	0.82	0.67	0.38	0.2	0.87	0.71	0.07	6.7
24.8	0.9	0.81	0.78	0.63	0.89	0.82	0.04	0.7
24.9	0.93	0.86	0.84	0.45	0.92	0.86	0.02	0.5
