"date"	"q_sim"
"2000-09-01"	0.33
"2000-09-02"	0.4
"2000-09-03"	0.44
"2000-09-04"	0.45
"2000-09-05"	0.43
"2000-09-06"	0.36
"2000-09-07"	0.35
"2000-09-08"	0.38
"2000-09-09"	0.71
"2000-09-10"	2.84
"2000-09-11"	3.61
"2000-09-12"	3.08
"2000-09-13"	2.12
"2000-09-14"	1.72
"2000-09-15"	1.36
"2000-09-16"	1.27
"2000-09-17"	1.1
"2000-09-18"	1.8
"2000-09-19"	1.23
"2000-09-20"	1.05
"2000-09-21"	0.92
"2000-09-22"	0.82
"2000-09-23"	0.74
"2000-09-24"	0.68
"2000-09-25"	0.63
"2000-09-26"	0.59
"2000-09-27"	0.55
"2000-09-28"	0.52
"2000-09-29"	0.49
"2000-09-30"	1.09
"2000-10-01"	0.72
"2000-10-02"	0.66
"2000-10-03"	0.63
"2000-10-04"	0.58
"2000-10-05"	0.54
"2000-10-06"	1.06
"2000-10-07"	0.73
"2000-10-08"	0.67
"2000-10-09"	0.62
"2000-10-10"	0.58
"2000-10-11"	0.55
"2000-10-12"	0.52
"2000-10-13"	0.49
"2000-10-14"	0.47
"2000-10-15"	0.45
"2000-10-16"	0.43
"2000-10-17"	0.42
"2000-10-18"	0.79
"2000-10-19"	0.55
"2000-10-20"	0.52
"2000-10-21"	0.49
"2000-10-22"	1.65
"2000-10-23"	0.98
"2000-10-24"	1.18
"2000-10-25"	1.64
"2000-10-26"	1.21
"2000-10-27"	1.05
"2000-10-28"	1.5
"2000-10-29"	1.11
"2000-10-30"	0.98
"2000-10-31"	0.88
"2000-11-01"	0.83
"2000-11-02"	0.77
"2000-11-03"	0.7
"2000-11-04"	0.66
"2000-11-05"	0.62
"2000-11-06"	0.58
"2000-11-07"	0.55
"2000-11-08"	0.53
"2000-11-09"	1.06
"2000-11-10"	0.73
"2000-11-11"	0.68
"2000-11-12"	0.64
"2000-11-13"	0.6
"2000-11-14"	0.57
"2000-11-15"	0.54
"2000-11-16"	0.52
"2000-11-17"	0.49
"2000-11-18"	0.48
"2000-11-19"	0.46
"2000-11-20"	0.44
"2000-11-21"	0.43
"2000-11-22"	0.42
"2000-11-23"	0.4
"2000-11-24"	0.39
"2000-11-25"	0.4
"2000-11-26"	0.38
"2000-11-27"	0.37
"2000-11-28"	0.36
"2000-11-29"	0.35
"2000-11-30"	0.46
"2000-12-01"	0.77
"2000-12-02"	0.53
"2000-12-03"	0.51
"2000-12-04"	0.48
"2000-12-05"	0.53
"2000-12-06"	0.47
"2000-12-07"	0.45
"2000-12-08"	0.44
"2000-12-09"	0.42
"2000-12-10"	0.41
"2000-12-11"	0.39
"2000-12-12"	0.38
"2000-12-13"	0.73
"2000-12-14"	0.51
"2000-12-15"	1.39
"2000-12-16"	1.86
"2000-12-17"	1.25
"2000-12-18"	1.08
"2000-12-19"	0.96
"2000-12-20"	0.86
"2000-12-21"	0.78
"2000-12-22"	0.72
"2000-12-23"	1.02
"2000-12-24"	0.79
"2000-12-25"	0.72
"2000-12-26"	0.67
"2000-12-27"	0.63
"2000-12-28"	0.59
"2000-12-29"	0.56
"2000-12-30"	0.54
"2000-12-31"	0.51
"2001-01-01"	0.49
"2001-01-02"	0.52
"2001-01-03"	0.48
"2001-01-04"	0.62
"2001-01-05"	0.72
"2001-01-06"	1.08
"2001-01-07"	1.28
"2001-01-08"	1.02
"2001-01-09"	0.89
"2001-01-10"	0.81
"2001-01-11"	2.14
"2001-01-12"	3.75
"2001-01-13"	2.6
"2001-01-14"	1.9
"2001-01-15"	1.55
"2001-01-16"	1.31
"2001-01-17"	1.14
"2001-01-18"	1.01
"2001-01-19"	0.92
"2001-01-20"	0.84
"2001-01-21"	0.78
"2001-01-22"	0.73
"2001-01-23"	0.68
"2001-01-24"	0.67
"2001-01-25"	0.93
"2001-01-26"	1.17
"2001-01-27"	1.14
"2001-01-28"	0.94
"2001-01-29"	0.85
"2001-01-30"	0.79
"2001-01-31"	0.82
"2001-02-01"	0.73
"2001-02-02"	0.68
"2001-02-03"	0.64
"2001-02-04"	0.61
"2001-02-05"	0.58
"2001-02-06"	0.56
"2001-02-07"	0.54
"2001-02-08"	0.52
"2001-02-09"	0.5
"2001-02-10"	0.48
"2001-02-11"	0.49
"2001-02-12"	0.63
"2001-02-13"	2.28
"2001-02-14"	3.0
"2001-02-15"	4.65
"2001-02-16"	3.4
"2001-02-17"	3.32
"2001-02-18"	7.8
"2001-02-19"	7.3
"2001-02-20"	8.86
"2001-02-21"	7.23
"2001-02-22"	3.76
"2001-02-23"	2.64
"2001-02-24"	2.06
"2001-02-25"	1.71
"2001-02-26"	1.47
"2001-02-27"	1.3
"2001-02-28"	1.17
"2001-03-01"	1.08
"2001-03-02"	1.0
"2001-03-03"	0.93
"2001-03-04"	0.88
"2001-03-05"	0.83
"2001-03-06"	1.01
"2001-03-07"	1.41
"2001-03-08"	1.37
"2001-03-09"	1.61
"2001-03-10"	1.73
"2001-03-11"	1.78
"2001-03-12"	2.4
"2001-03-13"	2.36
"2001-03-14"	2.35
"2001-03-15"	1.75
"2001-03-16"	1.48
"2001-03-17"	1.29
"2001-03-18"	1.15
"2001-03-19"	1.04
"2001-03-20"	0.96
"2001-03-21"	0.89
"2001-03-22"	0.83
"2001-03-23"	0.79
"2001-03-24"	0.74
"2001-03-25"	0.71
"2001-03-26"	0.68
"2001-03-27"	0.65
"2001-03-28"	0.63
"2001-03-29"	0.61
"2001-03-30"	0.63
"2001-03-31"	0.7
"2001-04-01"	1.29
"2001-04-02"	1.78
"2001-04-03"	3.86
"2001-04-04"	3.58
"2001-04-05"	3.72
"2001-04-06"	8.56
"2001-04-07"	3.94
"2001-04-08"	2.7
"2001-04-09"	2.31
"2001-04-10"	2.1
"2001-04-11"	1.87
"2001-04-12"	1.52
"2001-04-13"	1.32
"2001-04-14"	1.18
"2001-04-15"	1.13
"2001-04-16"	2.41
"2001-04-17"	2.28
"2001-04-18"	1.98
"2001-04-19"	1.57
"2001-04-20"	1.36
"2001-04-21"	1.27
"2001-04-22"	1.37
"2001-04-23"	1.35
"2001-04-24"	1.41
"2001-04-25"	2.52
"2001-04-26"	3.33
"2001-04-27"	4.6
"2001-04-28"	5.8
"2001-04-29"	5.38
"2001-04-30"	6.34
"2001-05-01"	7.19
"2001-05-02"	8.87
"2001-05-03"	11.1
"2001-05-04"	8.94
"2001-05-05"	4.52
"2001-05-06"	3.47
"2001-05-07"	5.1
"2001-05-08"	8.07
"2001-05-09"	10.95
"2001-05-10"	11.09
"2001-05-11"	12.05
"2001-05-12"	12.64
"2001-05-13"	13.04
"2001-05-14"	12.7
"2001-05-15"	7.91
"2001-05-16"	9.77
"2001-05-17"	11.05
"2001-05-18"	14.99
"2001-05-19"	14.05
"2001-05-20"	19.23
"2001-05-21"	8.66
"2001-05-22"	8.81
"2001-05-23"	14.1
"2001-05-24"	18.66
"2001-05-25"	11.75
"2001-05-26"	7.95
"2001-05-27"	15.97
"2001-05-28"	25.13
"2001-05-29"	10.14
"2001-05-30"	7.96
"2001-05-31"	6.16
"2001-06-01"	8.68
"2001-06-02"	11.4
"2001-06-03"	16.39
"2001-06-04"	6.97
"2001-06-05"	6.6
"2001-06-06"	4.91
"2001-06-07"	8.24
"2001-06-08"	11.67
"2001-06-09"	36.77
"2001-06-10"	8.92
"2001-06-11"	8.24
"2001-06-12"	9.35
"2001-06-13"	7.37
"2001-06-14"	7.41
"2001-06-15"	5.57
"2001-06-16"	4.21
"2001-06-17"	3.81
"2001-06-18"	3.52
"2001-06-19"	3.22
"2001-06-20"	2.59
"2001-06-21"	2.39
"2001-06-22"	2.03
"2001-06-23"	1.81
"2001-06-24"	1.55
"2001-06-25"	1.39
"2001-06-26"	1.27
"2001-06-27"	1.17
"2001-06-28"	1.09
"2001-06-29"	1.84
"2001-06-30"	1.41
"2001-07-01"	3.58
"2001-07-02"	5.97
"2001-07-03"	5.69
"2001-07-04"	5.28
"2001-07-05"	3.15
"2001-07-06"	2.46
"2001-07-07"	1.95
"2001-07-08"	1.65
"2001-07-09"	1.55
"2001-07-10"	4.31
"2001-07-11"	4.21
"2001-07-12"	6.45
"2001-07-13"	9.24
"2001-07-14"	17.82
"2001-07-15"	6.37
"2001-07-16"	10.59
"2001-07-17"	5.39
"2001-07-18"	4.26
"2001-07-19"	2.85
"2001-07-20"	3.49
"2001-07-21"	2.4
"2001-07-22"	2.37
"2001-07-23"	2.64
"2001-07-24"	1.99
"2001-07-25"	2.11
"2001-07-26"	3.03
"2001-07-27"	3.2
"2001-07-28"	2.35
"2001-07-29"	3.52
"2001-07-30"	4.94
"2001-07-31"	17.52
"2001-08-01"	12.02
"2001-08-02"	10.05
"2001-08-03"	4.55
"2001-08-04"	3.15
"2001-08-05"	11.06
"2001-08-06"	15.34
"2001-08-07"	6.41
"2001-08-08"	4.81
"2001-08-09"	3.09
"2001-08-10"	3.68
"2001-08-11"	6.78
"2001-08-12"	4.67
"2001-08-13"	4.0
"2001-08-14"	7.76
"2001-08-15"	6.08
"2001-08-16"	6.73
"2001-08-17"	5.62
"2001-08-18"	6.68
"2001-08-19"	4.32
"2001-08-20"	2.89
"2001-08-21"	9.2
"2001-08-22"	4.19
"2001-08-23"	2.9
"2001-08-24"	2.28
"2001-08-25"	1.88
"2001-08-26"	3.67
"2001-08-27"	14.78
"2001-08-28"	17.14
"2001-08-29"	7.61
"2001-08-30"	4.05
"2001-08-31"	4.07
"2001-09-01"	7.83
"2001-09-02"	10.29
"2001-09-03"	5.97
"2001-09-04"	3.53
"2001-09-05"	3.71
"2001-09-06"	3.5
"2001-09-07"	4.39
"2001-09-08"	3.47
"2001-09-09"	4.31
"2001-09-10"	19.42
"2001-09-11"	19.88
"2001-09-12"	5.95
"2001-09-13"	3.64
"2001-09-14"	4.73
"2001-09-15"	3.09
"2001-09-16"	2.79
"2001-09-17"	2.21
"2001-09-18"	1.87
"2001-09-19"	1.61
"2001-09-20"	1.44
"2001-09-21"	2.15
"2001-09-22"	1.61
"2001-09-23"	1.43
"2001-09-24"	1.29
"2001-09-25"	1.18
"2001-09-26"	1.18
"2001-09-27"	1.84
"2001-09-28"	5.71
"2001-09-29"	3.5
"2001-09-30"	2.47
"2001-10-01"	3.22
"2001-10-02"	2.48
"2001-10-03"	1.92
"2001-10-04"	6.24
"2001-10-05"	7.96
"2001-10-06"	7.57
"2001-10-07"	3.87
"2001-10-08"	2.72
"2001-10-09"	2.13
"2001-10-10"	1.76
"2001-10-11"	6.45
"2001-10-12"	5.31
"2001-10-13"	4.63
"2001-10-14"	2.92
"2001-10-15"	2.24
"2001-10-16"	1.83
"2001-10-17"	2.12
"2001-10-18"	1.64
"2001-10-19"	1.43
"2001-10-20"	1.28
"2001-10-21"	1.17
"2001-10-22"	1.08
"2001-10-23"	1.0
"2001-10-24"	0.94
"2001-10-25"	0.89
"2001-10-26"	0.85
"2001-10-27"	1.51
"2001-10-28"	4.03
"2001-10-29"	9.37
"2001-10-30"	10.06
"2001-10-31"	4.86
"2001-11-01"	7.06
"2001-11-02"	5.71
"2001-11-03"	23.07
"2001-11-04"	38.42
"2001-11-05"	10.24
"2001-11-06"	4.73
"2001-11-07"	3.84
"2001-11-08"	2.7
"2001-11-09"	2.17
"2001-11-10"	2.42
"2001-11-11"	11.41
"2001-11-12"	12.89
"2001-11-13"	7.76
"2001-11-14"	4.06
"2001-11-15"	5.97
"2001-11-16"	10.32
"2001-11-17"	9.62
"2001-11-18"	18.63
"2001-11-19"	14.41
"2001-11-20"	8.13
"2001-11-21"	7.82
"2001-11-22"	7.0
"2001-11-23"	3.82
"2001-11-24"	2.76
"2001-11-25"	2.46
"2001-11-26"	5.8
"2001-11-27"	3.47
"2001-11-28"	2.7
"2001-11-29"	2.35
"2001-11-30"	2.28
"2001-12-01"	2.9
"2001-12-02"	4.18
"2001-12-03"	2.83
"2001-12-04"	2.38
"2001-12-05"	2.07
"2001-12-06"	2.22
"2001-12-07"	1.73
"2001-12-08"	1.56
"2001-12-09"	1.47
"2001-12-10"	1.86
"2001-12-11"	3.29
"2001-12-12"	2.13
"2001-12-13"	1.85
"2001-12-14"	2.0
"2001-12-15"	2.51
"2001-12-16"	1.86
"2001-12-17"	2.61
"2001-12-18"	9.01
"2001-12-19"	7.22
"2001-12-20"	3.78
"2001-12-21"	2.67
"2001-12-22"	2.09
"2001-12-23"	1.73
"2001-12-24"	1.5
"2001-12-25"	1.33
"2001-12-26"	1.2
"2001-12-27"	1.1
"2001-12-28"	1.02
"2001-12-29"	0.96
"2001-12-30"	0.91
"2001-12-31"	0.86
"2002-01-01"	0.82
"2002-01-02"	0.78
"2002-01-03"	0.75
"2002-01-04"	0.73
"2002-01-05"	0.7
"2002-01-06"	0.68
"2002-01-07"	0.81
"2002-01-08"	2.15
"2002-01-09"	2.83
"2002-01-10"	2.17
"2002-01-11"	4.0
"2002-01-12"	4.54
"2002-01-13"	8.13
"2002-01-14"	12.86
"2002-01-15"	13.61
"2002-01-16"	8.79
"2002-01-17"	5.17
"2002-01-18"	3.69
"2002-01-19"	2.91
"2002-01-20"	2.96
"2002-01-21"	2.23
"2002-01-22"	1.83
"2002-01-23"	1.57
"2002-01-24"	1.39
"2002-01-25"	1.26
