Model: hbv
Version: 0.1
Description: The is a toy example







Station	KGE	NSE	NSE_bench	Intercept	Slope	r2	Bias
103.1	0.98	0.98	0.95	0.06	1.01	0.98	0.16
103.40	0.97	0.98	0.95	-0.19	1.02	0.98	0.43
104.23	0.98	0.97	0.97	0.06	0.99	0.97	0.03
105.1	0.98	0.98	0.98	0.03	1.01	0.98	0.07
107.3	0.96	0.96	0.95	0	1.01	0.96	0.01
109.29	0.97	0.98	0.96	-0.01	1.02	0.98	0.04
109.42	0.97	0.97	0.95	-0.24	1.02	0.97	0.84
109.9	0.97	0.98	0.96	-0.01	1.01	0.98	0.22
112.8	0.96	0.98	0.97	-0.04	1.02	0.98	0.05
12.114	0.97	0.98	0.97	-0.05	1.02	0.98	0.13
12.150	0.95	0.98	0.96	-0.01	1.04	0.98	0.01
12.171	0.97	0.98	0.97	0	1.01	0.98	0.02
12.178	0.96	0.98	0.98	-0.1	1.03	0.98	0.11
12.192	0.97	0.98	0.98	-0.01	1.02	0.98	0.03
12.193	0.98	0.98	0.98	0.01	1	0.98	0.01
12.209	0.97	0.98	0.97	-0.08	1.02	0.98	0.15
12.215	0.98	0.98	0.96	0.02	1.01	0.98	0.05
12.286	0.98	0.97	0.96	0.02	1	0.97	0.02
12.290	0.96	0.95	0.94	0.13	1.01	0.95	0.72
12.70	0.97	0.98	0.96	-0.02	1.01	0.98	0.11
12.97	0.94	0.94	0.93	-1.26	1.02	0.95	1.34
121.20	0.98	0.98	0.97	0.08	1	0.98	0.05
122.11	0.96	0.98	0.96	-0.24	1.03	0.98	0.27
122.17	0.98	0.98	0.97	0.09	1	0.98	0.13
122.9	0.98	0.98	0.96	0.26	1.01	0.98	0.87
123.31	0.98	0.98	0.97	0.04	1.01	0.98	0.08
124.2	0.96	0.98	0.97	-0.17	1.02	0.98	0.31
127.11	0.97	0.98	0.96	-0.01	1.01	0.98	0.09
127.13	0.96	0.98	0.97	-0.16	1.02	0.98	0.24
133.7	0.97	0.98	0.98	-0.06	1.02	0.98	0.18
138.1	0.96	0.98	0.98	-0.18	1.03	0.98	0.16
139.15	0.98	0.98	0.97	0.24	1	0.98	0.23
139.35	0.98	0.97	0.96	0.34	1	0.98	0.3
148.2	0.97	0.98	0.97	0.01	1.01	0.98	0.06
15.15	0.97	0.94	0.93	2.76	0.98	0.94	0.91
15.174	0.97	0.98	0.98	0	1.02	0.98	0.01
15.21	0.97	0.98	0.98	-0.01	1.01	0.98	0.04
15.49	0.94	0.98	0.96	-0.03	1.05	0.98	0.02
15.53	0.95	0.98	0.97	-0.04	1.04	0.98	0.03
15.79	0.98	0.98	0.95	0.07	1.01	0.98	0.28
151.15	0.98	0.98	0.95	0.09	1.01	0.98	0.3
152.4	0.97	0.97	0.97	-0.07	1.02	0.98	0.43
156.10	0.97	0.98	0.95	-0.01	1.01	0.98	0.24
157.3	0.98	0.97	0.97	0.02	1	0.97	0.02
16.122	0.99	0.98	0.97	0.01	0.99	0.98	0.01
16.132	0.97	0.98	0.97	-0.01	1.02	0.98	0.01
16.140	0.96	0.98	0.95	-0.22	1.02	0.98	0.51
16.193	0.97	0.98	0.98	-0.01	1.01	0.98	0.06
16.66	0.98	0.98	0.97	0	1	0.98	0
16.75	0.97	0.98	0.96	-0.02	1.02	0.98	0.03
160.7	0.97	0.98	0.97	0	1.01	0.98	0.02
161.7	0.97	0.98	0.96	0	1.01	0.98	0.11
162.3	0.97	0.98	0.97	0	1.01	0.98	0.06
163.5	0.98	0.98	0.96	0.05	1.01	0.98	0.15
165.6	0.98	0.98	0.98	0	1.01	0.98	0.01
168.2	0.97	0.98	0.97	0	1.01	0.98	0.02
173.8	0.97	0.98	0.94	-0.02	1.02	0.98	0.04
174.11	0.98	0.98	0.96	0	1.01	0.98	0
174.3	0.98	0.98	0.97	0.02	1	0.98	0.01
177.4	0.98	0.98	0.97	0.01	1.01	0.98	0.03
18.10	0.97	0.98	0.98	0	1.01	0.98	0.09
19.107	0.96	0.98	0.98	-0.01	1.02	0.98	0.02
191.2	0.97	0.98	0.95	-0.1	1.02	0.98	0.25
196.35	0.96	0.97	0.94	-0.58	1.02	0.98	1.16
2.11	0.96	0.98	0.96	-0.03	1.03	0.98	0.04
2.142	0.98	0.97	0.96	0.28	1	0.97	0.22
2.145	0.97	0.97	0.93	-0.37	1.01	0.97	3.28
2.265	0.96	0.98	0.96	-0.14	1.03	0.98	0.17
2.268	0.98	0.98	0.94	0.15	1.01	0.98	0.29
2.279	0.97	0.98	0.97	-0.02	1.01	0.98	0.1
2.28	0.98	0.98	0.97	0.14	1	0.98	0.19
2.291	0.96	0.98	0.95	-0.18	1.03	0.98	0.2
2.32	0.97	0.97	0.94	-0.01	1.01	0.97	0.12
2.323	0.98	0.98	0.98	0	1.01	0.98	0.01
2.439	0.99	0.98	0.96	0.11	0.99	0.98	0.05
2.463	0.98	0.98	0.97	0.04	1	0.98	0.03
2.479	0.97	0.98	0.96	0.01	1.01	0.98	0.04
2.604	0.96	0.96	0.93	-0.34	1.01	0.96	3.06
2.614	0.97	0.98	0.95	-0.23	1.02	0.98	0.44
2.633	0.98	0.98	0.98	0.02	1	0.98	0.01
2.634	0.98	0.98	0.97	0.01	1	0.98	0.02
20.2	0.98	0.98	0.97	0.02	1.01	0.98	0.1
200.4	0.97	0.97	0.96	0	1.01	0.97	0.09
203.2	0.97	0.97	0.93	0.03	1.01	0.97	0.06
206.3	0.97	0.98	0.95	-0.02	1.02	0.98	0.08
208.3	0.99	0.98	0.97	0.27	1	0.98	0.18
21.47	0.98	0.98	0.97	0	1.01	0.98	0.01
212.10	0.99	0.98	0.96	0.85	1	0.98	0.54
212.27	0.98	0.98	0.97	0.02	1.01	0.98	0.1
212.49	0.98	0.98	0.96	0	1.01	0.98	0.04
22.16	0.97	0.98	0.98	0	1.01	0.98	0.1
22.22	0.96	0.98	0.98	-0.1	1.03	0.98	0.13
22.4	0.96	0.96	0.96	-0.35	1.02	0.96	1.2
223.2	0.95	0.98	0.96	-0.3	1.03	0.98	0.31
230.1	0.95	0.98	0.97	-0.01	1.04	0.98	0.01
234.13	0.96	0.98	0.96	-0.29	1.02	0.98	0.46
234.18	0.98	0.98	0.96	0.9	1.01	0.98	2.24
24.8	0.98	0.98	0.97	0.04	1	0.98	0.06
24.9	0.97	0.97	0.97	-0.06	1.02	0.98	0.21
247.3	0.98	0.98	0.97	0.01	1	0.98	0.02
25.24	0.97	0.97	0.94	0.02	1.01	0.97	0.07
25.32	0.97	0.98	0.98	-0.01	1.01	0.98	0.03
26.20	0.97	0.98	0.97	0.02	1.01	0.98	0.06
26.26	0.98	0.98	0.97	0.02	1	0.98	0.02
26.29	0.98	0.98	0.97	0.03	1	0.98	0.04
27.16	0.96	0.98	0.97	-0.09	1.02	0.98	0.15
27.24	0.96	0.97	0.97	-0.09	1.02	0.97	0.19
28.7	0.97	0.97	0.97	0.02	1.01	0.98	0.08
3.22	0.99	0.98	0.98	0.06	1	0.98	0.04
311.460	0.95	0.97	0.95	-0.2	1.04	0.98	0.14
311.6	0.96	0.97	0.92	-0.12	1.01	0.97	0.92
313.10	0.98	0.97	0.97	0.05	1	0.97	0.05
35.16	0.97	0.98	0.98	0.01	1.01	0.98	0.04
36.9	0.98	0.98	0.96	0.03	1	0.98	0.03
41.1	0.97	0.97	0.97	0.07	1.01	0.97	0.15
42.2	0.97	0.98	0.98	-0.02	1.02	0.98	0.04
46.9	0.97	0.98	0.95	-0.01	1.02	0.98	0.01
48.1	0.98	0.97	0.96	0.43	1	0.97	0.35
48.5	0.97	0.97	0.95	-0.04	1.02	0.98	0.13
50.1	0.96	0.98	0.95	-0.09	1.02	0.98	0.17
50.13	0.96	0.98	0.96	-0.07	1.02	0.98	0.16
55.4	0.97	0.98	0.98	0.02	1.01	0.98	0.06
55.5	0.96	0.98	0.98	0	1.02	0.98	0.01
6.10	0.98	0.98	0.98	0	1.01	0.98	0
6.71	0.98	0.98	0.97	0	1.01	0.98	0
62.10	0.98	0.97	0.96	0.05	1.01	0.98	0.12
62.18	0.97	0.98	0.98	-0.01	1.01	0.98	0.09
62.5	0.97	0.97	0.96	-0.02	1.01	0.97	0.87
72.5	0.96	0.98	0.95	-0.12	1.02	0.98	0.22
73.27	0.97	0.98	0.96	0	1.01	0.98	0.01
75.23	0.97	0.98	0.96	0	1.01	0.98	0.03
76.5	0.98	0.98	0.89	0.04	1	0.98	0.07
77.3	0.97	0.97	0.95	0	1.01	0.98	0.09
78.8	0.97	0.97	0.92	0.01	1.01	0.98	0.05
79.3	0.97	0.98	0.97	-0.01	1.02	0.98	0.03
8.2	0.98	0.98	0.98	-0.01	1.01	0.98	0.04
8.6	0.97	0.98	0.98	0	1.01	0.98	0
82.4	0.97	0.98	0.98	-0.04	1.01	0.98	0.18
83.2	0.97	0.97	0.94	0.08	1.01	0.97	0.49
84.11	0.98	0.98	0.97	0.13	1	0.98	0.21
86.12	0.97	0.97	0.96	-0.01	1.01	0.97	0.04
87.10	0.97	0.97	0.96	-0.02	1.01	0.97	0.19
88.4	0.97	0.97	0.9	0	1.01	0.98	0.22
91.2	0.96	0.97	0.97	-0.01	1.02	0.97	0.02
97.1	0.98	0.97	0.97	0.08	1	0.97	0.08
98.4	0.96	0.97	0.96	-0.04	1.02	0.97	0.12
